range,count,percentage
0.50-0.60,7,1.0703363914373087
0.60-0.70,8,1.2232415902140672
0.70-0.80,7,1.0703363914373087
0.80-0.90,13,1.9877675840978593
0.90-0.95,10,1.529051987767584
0.95-0.99,34,5.198776758409786
0.99-1.00,575,87.92048929663608
