metric,mean,std
accuracy,0.9465403298991084,0.028492203102571056
precision,0.9680344070990923,0.03289081529256314
recall,0.9697324510171017,0.009820681417256269
f1,0.9686243733341143,0.01711107353043549
roc_auc,0.9854268387120106,0.0068529757426117255
brier_score,0.04884255437777244,0.027019945241281602
log_loss,0.19378625130456206,0.09594106488013976
