fold,train_records,validation_records,train_groups,validation_groups,accuracy,precision,recall,f1,roc_auc,brier_score,log_loss
1,522,132,52,13,0.9545454545454546,0.9911504424778761,0.9572649572649573,0.9739130434782609,0.9897435897435898,0.036661579491658325,0.15502295279709494
2,523,131,52,13,0.9389312977099237,0.9626168224299065,0.9626168224299065,0.9626168224299065,0.977803738317757,0.060640169286050635,0.2466379206091061
3,523,131,52,13,0.9007633587786259,0.9130434782608695,0.9722222222222222,0.9417040358744395,0.9782608695652174,0.09075082003972242,0.33589402149574515
4,524,130,52,13,0.9692307692307692,0.9819819819819819,0.9819819819819819,0.9819819819819819,0.9890943575154101,0.030752952994120442,0.10763759439196022
5,524,130,52,13,0.9692307692307692,0.9913793103448276,0.9745762711864406,0.9829059829059829,0.992231638418079,0.025407250077310387,0.123738767228904
