group,track_id,transitions,transition_sequence
zm2_12,4,1,zm_im -> zm_el
zm2_12,5,1,zm_im -> zm_el
zm2_12,6,0,
zm2_12,7,1,zm_im -> zm_el
zm2_12,8,1,zm_im -> zm_el
zm2_12,9,1,zm_im -> zm_el
zm2_12,10,0,
zm2_2,1,1,zm_im -> zm_el
zm2_2,2,1,zm_im -> zm_el
zm2_2,3,0,
zm2_2,4,1,zm_im -> zm_el
zm2_2,5,0,
zm2_2,6,0,
zm2_2,7,1,zm_im -> zm_el
zm2_2,8,1,zm_im -> zm_el
zm2_2,9,0,
zm2_2,10,1,zm_im -> zm_el
zm2_3,1,1,zm_im -> zm_el
zm2_3,2,1,zm_im -> zm_el
zm2_3,3,1,zm_im -> zm_el
zm2_3,4,1,zm_im -> zm_el
zm2_3,5,1,zm_im -> zm_el
zm2_3,6,1,zm_im -> zm_el
zm2_3,7,1,zm_im -> zm_el
zm2_3,8,1,zm_im -> zm_el
zm2_3,9,1,zm_im -> zm_el
zm2_3,10,1,zm_im -> zm_el
zm2_4,1,0,
zm2_4,2,1,zm_im -> zm_el
zm2_4,3,1,zm_im -> zm_el
zm2_4,4,0,
zm2_4,5,1,zm_im -> zm_el
zm2_4,6,1,zm_im -> zm_el
zm2_4,7,1,zm_im -> zm_el
zm2_4,8,1,zm_im -> zm_el
zm2_4,9,1,zm_im -> zm_el
zm2_4,10,0,
zm2_5,1,1,zm_im -> zm_el
zm2_5,2,1,zm_im -> zm_el
zm2_5,3,1,zm_im -> zm_el
zm2_5,4,1,zm_im -> zm_el
zm2_5,5,1,zm_im -> zm_el
zm2_5,6,1,zm_im -> zm_el
zm2_5,7,1,zm_im -> zm_el
zm2_5,8,1,zm_im -> zm_el
zm2_5,9,1,zm_im -> zm_el
zm2_5,10,1,zm_im -> zm_el
zm2_6,1,1,zm_im -> zm_el
zm2_6,2,1,zm_im -> zm_el
zm2_6,3,1,zm_im -> zm_el
zm2_6,4,1,zm_im -> zm_el
zm2_6,5,1,zm_im -> zm_el
zm2_6,6,1,zm_im -> zm_el
zm2_6,7,1,zm_im -> zm_el
zm2_6,8,1,zm_im -> zm_el
zm2_6,9,1,zm_im -> zm_el
zm2_6,10,1,zm_im -> zm_el
zm2_7,1,1,zm_im -> zm_el
zm2_7,2,0,
zm2_7,3,0,
zm2_7,4,1,zm_im -> zm_el
zm2_7,5,0,
zm2_7,6,1,zm_im -> zm_el
zm2_7,7,1,zm_im -> zm_el
zm2_7,8,1,zm_im -> zm_el
zm2_7,9,1,zm_im -> zm_el
zm2_7,10,0,
zm2_8,1,1,zm_im -> zm_el
zm2_8,2,1,zm_im -> zm_el
zm2_8,3,1,zm_im -> zm_el
zm2_8,4,1,zm_im -> zm_el
zm2_8,5,1,zm_im -> zm_el
zm2_8,6,1,zm_im -> zm_el
zm2_8,7,1,zm_im -> zm_el
zm2_8,8,0,
zm2_8,9,1,zm_im -> zm_el
zm2_9,1,0,
zm2_9,2,1,zm_im -> zm_el
zm2_9,3,0,
zm2_9,4,1,zm_im -> zm_el
zm2_9,5,1,zm_im -> zm_el
zm2_9,6,1,zm_im -> zm_el
zm2_9,7,1,zm_im -> zm_el
zm2_9,8,1,zm_im -> zm_el
zm2_9,9,1,zm_im -> zm_el
zm2_9,10,1,zm_im -> zm_el
zm3_1,1,1,zm_im -> zm_el
zm3_1,2,1,zm_im -> zm_el
zm3_1,3,1,zm_im -> zm_el
zm3_1,4,1,zm_im -> zm_el
zm3_1,5,1,zm_im -> zm_el
zm3_1,6,1,zm_im -> zm_el
zm3_1,7,1,zm_im -> zm_el
zm3_1,8,0,
zm3_1,9,1,zm_im -> zm_el
zm3_10,1,1,zm_im -> zm_el
zm3_10,2,1,zm_im -> zm_el
zm3_10,3,1,zm_im -> zm_el
zm3_10,4,1,zm_im -> zm_el
zm3_10,5,1,zm_im -> zm_el
zm3_10,6,1,zm_im -> zm_el
zm3_10,7,1,zm_im -> zm_el
zm3_10,8,1,zm_im -> zm_el
zm3_10,9,1,zm_im -> zm_el
zm3_11,1,1,zm_im -> zm_el
zm3_11,2,0,
zm3_11,3,1,zm_im -> zm_el
zm3_11,4,1,zm_im -> zm_el
zm3_11,5,0,
