group,track_id,transitions,transition_sequence
zm7_12,8,1,zm_im -> zm_el
zm7_12,9,1,zm_im -> zm_el
zm7_12,10,0,
zm7_2,1,0,
zm7_2,2,0,
zm7_2,3,0,
zm7_2,4,1,zm_im -> zm_el
zm7_2,5,0,
zm7_2,6,0,
zm7_3,1,1,zm_im -> zm_el
zm7_3,2,0,
zm7_3,3,0,
zm7_3,4,1,zm_im -> zm_el
zm7_3,5,0,
zm7_3,6,0,
zm7_3,7,1,zm_im -> zm_el
zm7_3,8,1,zm_im -> zm_el
zm7_4,1,1,zm_im -> zm_el
zm7_4,2,1,zm_im -> zm_el
zm7_4,3,1,zm_im -> zm_el
zm7_4,4,1,zm_im -> zm_el
zm7_4,5,1,zm_im -> zm_el
zm7_4,6,1,zm_im -> zm_el
zm7_4,7,1,zm_im -> zm_el
zm7_4,8,1,zm_im -> zm_el
zm7_4,9,0,
zm7_4,10,1,zm_im -> zm_el
zm7_5,1,0,
zm7_5,2,1,zm_im -> zm_el
zm7_5,3,1,zm_im -> zm_el
zm7_5,4,1,zm_im -> zm_el
zm7_5,5,0,
zm7_5,6,0,
zm7_5,7,0,
zm7_5,8,0,
zm7_5,9,0,
zm7_5,10,0,
zm7_6,1,1,zm_im -> zm_el
zm7_6,2,1,zm_im -> zm_el
zm7_6,3,1,zm_im -> zm_el
zm7_6,4,1,zm_im -> zm_el
zm7_6,5,1,zm_im -> zm_el
zm7_6,6,1,zm_im -> zm_el
zm7_6,7,1,zm_im -> zm_el
zm7_6,8,1,zm_im -> zm_el
zm7_6,9,1,zm_im -> zm_el
zm7_6,10,1,zm_im -> zm_el
zm7_7,1,0,
zm7_7,2,1,zm_im -> zm_el
zm7_7,3,1,zm_im -> zm_el
zm7_7,4,1,zm_im -> zm_el
zm7_7,5,1,zm_im -> zm_el
zm7_7,6,0,
zm7_7,7,1,zm_im -> zm_el
zm7_7,8,1,zm_im -> zm_el
zm7_7,9,1,zm_im -> zm_el
zm7_7,10,1,zm_im -> zm_el
zm7_8,1,0,
zm7_8,2,1,zm_im -> zm_el
zm7_8,3,1,zm_im -> zm_el
zm7_8,4,1,zm_im -> zm_el
zm7_8,5,1,zm_im -> zm_el
zm7_8,6,0,
zm7_8,7,1,zm_im -> zm_el
zm7_8,8,1,zm_im -> zm_el
zm7_8,9,3,zm_im -> zm_el | zm_el -> zm_im | zm_im -> zm_el
zm7_8,10,0,
zm7_9,1,1,zm_im -> zm_el
zm7_9,2,1,zm_im -> zm_el
zm7_9,3,1,zm_im -> zm_el
zm7_9,4,0,
zm7_9,5,1,zm_im -> zm_el
zm7_9,6,1,zm_im -> zm_el
zm7_9,7,1,zm_im -> zm_el
zm7_9,8,1,zm_im -> zm_el
zm7_9,9,1,zm_im -> zm_el
zm7_9,10,1,zm_im -> zm_el
