group,track_id,first_frame,last_frame,observed_frames,expected_frames,missing_frames,coverage,transitions,transition_sequence,mean_movement,max_movement,mean_iou,min_iou,low_iou_count,suspicious
zm1_1,1,1,97,97,97,0,1.0,0,,0.03556472460805307,0.7071067811865476,0.9985008108350771,0.9564777327935222,0,False
zm1_1,2,1,97,97,97,0,1.0,0,,0.015625,0.5,0.999395674916889,0.9764705882352941,0,False
zm1_1,3,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.2538450035409873,1.5811388300841898,0.9933347234596076,0.9492419248516809,0,False
zm1_1,4,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.09069902897069321,0.7071067811865476,0.9979952153800776,0.9779385171790235,0,False
zm1_1,5,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.11674069563735988,0.7071067811865476,0.9971816211788136,0.9764948453608248,0,False
zm1_1,6,1,97,97,97,0,1.0,0,,0.05547021635350461,1.118033988749895,0.9985680077677958,0.9649003930071826,0,False
zm1_1,7,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.06986569563735988,1.0,0.9972063519214931,0.9541478929234031,0,False
zm1_1,8,1,97,97,97,0,1.0,0,,0.046875,0.5,0.9987382355590856,0.9848484848484849,0,False
zm1_1,9,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.2836606288537195,1.5811388300841898,0.9932666902516342,0.9474113805970149,0,False
zm1_1,10,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.6867947298013631,2.692582403567252,0.9805981023275087,0.9316394434361767,0,False
zm1_10,1,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.06804424532419781,1.118033988749895,0.9980410495498901,0.9608108108108108,0,False
zm1_10,2,1,97,97,97,0,1.0,0,,0.057291666666666664,0.5,0.9986000495915938,0.9855072463768116,0,False
zm1_10,3,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.09590736230402654,1.0,0.9974655966752105,0.9729427131927598,0,False
zm1_10,4,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.15014805794138641,1.0,0.9958722566092173,0.975,0,False
zm1_10,5,1,97,97,97,0,1.0,0,,0.11276188302017127,1.118033988749895,0.9968053832336626,0.9596742923613804,0,False
zm1_10,6,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.07723139127471974,1.0,0.9978181039220272,0.96875,0,False
zm1_10,7,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.03125,0.5,0.9991900330392102,0.9864864864864865,0,False
zm1_10,8,1,97,97,97,0,1.0,0,,0.036458333333333336,0.5,0.9986155444793504,0.9692307692307692,0,False
zm1_10,9,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.10416666666666667,1.5,0.9973694181951412,0.9594594594594594,0,False
zm1_10,10,1,97,97,97,0,1.0,0,,0.05944902897069321,0.7071067811865476,0.998162301697039,0.9723412543825477,0,False
zm1_11,1,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.18281219504819465,2.692582403567252,0.9936405310694728,0.9227373068432672,0,False
zm1_11,2,1,97,97,97,0,1.0,0,,0.03861569563735987,0.7071067811865476,0.9989558884425885,0.9746011071312276,0,False
zm1_11,3,1,97,97,97,0,1.0,0,,0.046875,0.5,0.9988364701768219,0.9868421052631579,0,False
zm1_11,4,1,97,97,97,0,1.0,1,zm_im -> zm_el,0.12626375357874628,0.7071067811865476,0.9961200145777208,0.9715725806451613,0,False
