group,track_id,frame,iou
zm1_1,1,2,0.9836065573770492
zm1_1,1,3,1.0
zm1_1,1,4,0.9711313946083634
zm1_1,1,5,1.0
zm1_1,1,6,0.9711779448621554
zm1_1,1,7,1.0
zm1_1,1,8,1.0
zm1_1,1,9,0.9868421052631579
zm1_1,1,10,1.0
zm1_1,1,11,0.9564777327935222
zm1_1,1,12,1.0
zm1_1,1,13,1.0
zm1_1,1,14,0.9868421052631579
zm1_1,1,15,1.0
zm1_1,1,16,1.0
zm1_1,1,17,1.0
zm1_1,1,18,1.0
zm1_1,1,19,1.0
zm1_1,1,20,1.0
zm1_1,1,21,1.0
zm1_1,1,22,1.0
zm1_1,1,23,1.0
zm1_1,1,24,1.0
zm1_1,1,25,1.0
zm1_1,1,26,1.0
zm1_1,1,27,1.0
zm1_1,1,28,1.0
zm1_1,1,29,1.0
zm1_1,1,30,1.0
zm1_1,1,31,1.0
zm1_1,1,32,1.0
zm1_1,1,33,1.0
zm1_1,1,34,1.0
zm1_1,1,35,1.0
zm1_1,1,36,1.0
zm1_1,1,37,1.0
zm1_1,1,38,1.0
zm1_1,1,39,1.0
zm1_1,1,40,1.0
zm1_1,1,41,1.0
zm1_1,1,42,1.0
zm1_1,1,43,1.0
zm1_1,1,44,1.0
zm1_1,1,45,1.0
zm1_1,1,46,1.0
zm1_1,1,47,1.0
zm1_1,1,48,1.0
zm1_1,1,49,1.0
zm1_1,1,50,1.0
zm1_1,1,51,1.0
zm1_1,1,52,1.0
zm1_1,1,53,1.0
zm1_1,1,54,1.0
zm1_1,1,55,1.0
zm1_1,1,56,1.0
zm1_1,1,57,1.0
zm1_1,1,58,1.0
zm1_1,1,59,1.0
zm1_1,1,60,1.0
zm1_1,1,61,1.0
zm1_1,1,62,1.0
zm1_1,1,63,1.0
zm1_1,1,64,1.0
zm1_1,1,65,1.0
zm1_1,1,66,1.0
zm1_1,1,67,1.0
zm1_1,1,68,1.0
zm1_1,1,69,1.0
zm1_1,1,70,1.0
zm1_1,1,71,1.0
zm1_1,1,72,1.0
zm1_1,1,73,1.0
zm1_1,1,74,1.0
zm1_1,1,75,1.0
zm1_1,1,76,1.0
zm1_1,1,77,1.0
zm1_1,1,78,1.0
zm1_1,1,79,1.0
zm1_1,1,80,1.0
zm1_1,1,81,1.0
zm1_1,1,82,1.0
zm1_1,1,83,1.0
zm1_1,1,84,1.0
zm1_1,1,85,1.0
zm1_1,1,86,1.0
zm1_1,1,87,1.0
zm1_1,1,88,1.0
zm1_1,1,89,1.0
zm1_1,1,90,1.0
zm1_1,1,91,1.0
zm1_1,1,92,1.0
zm1_1,1,93,1.0
zm1_1,1,94,1.0
zm1_1,1,95,1.0
zm1_1,1,96,1.0
zm1_1,1,97,1.0
zm1_1,2,2,0.9764705882352941
zm1_1,2,3,1.0
zm1_1,2,4,1.0
zm1_1,2,5,1.0
zm1_1,2,6,1.0
zm1_1,2,7,1.0
zm1_1,2,8,0.9883720930232558
zm1_1,2,9,1.0
zm1_1,2,10,0.9885057471264368
zm1_1,2,11,1.0
zm1_1,2,12,1.0
zm1_1,2,13,1.0
zm1_1,2,14,0.9886363636363636
zm1_1,2,15,1.0
zm1_1,2,16,1.0
zm1_1,2,17,1.0
zm1_1,2,18,1.0
zm1_1,2,19,1.0
zm1_1,2,20,1.0
zm1_1,2,21,1.0
zm1_1,2,22,1.0
zm1_1,2,23,1.0
zm1_1,2,24,1.0
zm1_1,2,25,1.0
zm1_1,2,26,1.0
zm1_1,2,27,1.0
zm1_1,2,28,1.0
zm1_1,2,29,1.0
zm1_1,2,30,1.0
zm1_1,2,31,1.0
zm1_1,2,32,1.0
zm1_1,2,33,1.0
zm1_1,2,34,1.0
zm1_1,2,35,1.0
zm1_1,2,36,1.0
zm1_1,2,37,1.0
zm1_1,2,38,1.0
zm1_1,2,39,1.0
zm1_1,2,40,1.0
zm1_1,2,41,1.0
zm1_1,2,42,1.0
