group,tracks,complete_tracks,missing_frame_events,mean_movement,max_movement,mean_iou,low_iou_events,class_transitions
zm1_1,10,10,0,0.16551407234030405,2.692582403567252,0.9954785433597982,0,6
zm1_10,10,10,0,0.07927086355018617,1.5,0.9977939736992343,0,6
zm1_11,10,10,0,0.12509516722712338,2.692582403567252,0.996334693533129,0,5
zm1_12,10,10,0,0.24641021300222637,5.315072906367325,0.9932871314055746,0,8
zm1_2,10,10,0,0.13957203117957298,67.59622770539788,0.9970563976174094,1,6
zm1_3,10,10,0,0.1491298411952781,15.041608956491324,0.9959952128083118,0,9
zm1_4,10,10,0,0.11151795691336124,2.23606797749979,0.9965418947165039,0,5
zm1_5,10,10,0,0.1506924039956165,2.5,0.9957986129609132,0,6
zm1_6,10,10,0,0.13203955672373094,3.1622776601683795,0.995792097381348,0,7
zm1_7,10,10,0,0.11655142892787736,1.5811388300841898,0.9970677029074163,0,6
zm1_8,10,10,0,0.15757745837021042,2.23606797749979,0.9962081513220968,0,6
zm1_9,10,10,0,0.27769920939216614,5.5,0.9923856672292014,0,7
zm2_1,10,10,0,0.24377179232063342,3.905124837953327,0.9931224604987583,0,8
zm2_10,10,10,0,0.3093894035662527,63.73774391990981,0.9921406844563663,1,10
zm2_11,10,10,0,0.2309103503297671,4.6097722286464435,0.9934904076198515,0,10
zm2_12,10,10,0,0.21916097531343018,2.5,0.9942025232680074,0,8
zm2_2,10,10,0,0.19856774700873708,15.913830462839549,0.994357488197682,0,6
zm2_3,10,10,0,0.237877632071981,2.1213203435596424,0.9939995298340912,0,10
zm2_4,10,10,0,0.10820492260091687,5.220153254455275,0.9970730053852928,0,7
zm2_5,10,10,0,0.14390947066611776,1.4142135623730951,0.9959982214747127,0,10
zm2_6,10,10,0,0.1554000015545337,2.5,0.9950903014084214,0,10
zm2_7,10,10,0,0.10540189108938086,1.118033988749895,0.9971829013684952,0,6
zm2_8,9,9,0,0.23820154123452955,5.024937810560445,0.9936692970371573,0,8
zm2_9,10,10,0,0.2163070157050943,15.532224567009067,0.9937985975459107,0,8
zm3_1,9,9,0,0.10931980833646657,2.5495097567963922,0.9969283240469977,0,8
zm3_10,9,9,0,0.21482791547097618,18.069310999592652,0.9938848038438131,0,9
zm3_11,10,10,0,0.17061040572383118,1.118033988749895,0.9948945477119051,0,8
zm3_12,10,10,0,0.10050550143149853,1.5,0.9972153972604662,0,7
zm3_2,10,10,0,0.19754028552498618,13.038404810405298,0.9944287186505139,0,8
zm3_3,10,10,0,0.25891691126977484,2.0615528128088303,0.9930754055008824,0,9
zm3_4,10,10,0,0.36522323108955845,9.7082439194738,0.9903567664485174,0,8
zm3_5,8,8,0,0.3385020823386191,2.0,0.9917988398804577,0,8
zm3_6,9,9,0,0.6279484845659795,24.520399670478458,0.9850708452488264,0,8
zm3_7,10,10,0,0.4217866401011417,5.315072906367325,0.9901362213696365,0,10
zm3_8,10,10,0,0.08712380132179293,1.118033988749895,0.9973963545864704,0,6
zm3_9,10,10,0,0.06214255650988789,1.0,0.998234094407098,0,4
zm4_1,8,8,0,0.08189610492422124,1.118033988749895,0.9977151196648272,0,6
zm4_10,8,8,0,0.19058956646343347,3.1622776601683795,0.9946874138414229,0,7
zm4_11,10,10,0,0.17660606206628993,12.041594578792296,0.9949484784909643,0,7
zm4_12,10,10,0,0.26998021529799876,9.013878188659973,0.9921853514701745,0,10
