group,track_id,total_frames,mean_match_cost,max_match_cost,mean_center_distance,max_center_distance,mean_iou,min_iou,suspicious,suspicion_reason
zm1_1,1,97,0.0005559714268269371,0.0157536268556005,5.6407176222127836e-05,0.0011331839442092,0.9985162663934783,0.9564777327935222,False,
zm1_1,2,97,0.00022544147208790926,0.008235294117647,2.4781919111814433e-05,0.000801282051282,0.999401905072385,0.976470588235294,False,
zm1_1,3,97,0.002570492702178164,0.0189299450401928,0.0004026090460602361,0.0025338763302631,0.9934034376507457,0.9492419248516808,False,
zm1_1,4,97,0.0007879450116130227,0.0084580885510777,0.00014385254396619794,0.0011331839442092,0.9980158832627573,0.9779385171790236,False,
zm1_1,5,97,0.0010966144119133909,0.0089633736874473,0.00018515574248588866,0.0011331839442092,0.9972106766305784,0.9764948453608248,False,
zm1_1,6,97,0.0005532160890455155,0.0134494811857672,8.797813854639483e-05,0.0017917211358171,0.9985827705743133,0.9649003930071826,False,
zm1_1,7,97,0.0010397231443460434,0.0170899041434755,0.0001108099851504464,0.0016025641025641,0.9972351524171478,0.9541478929234032,False,
zm1_1,8,97,0.00048538953829612477,0.0058238636363636,7.43457573354433e-05,0.000801282051282,0.9987512434399198,0.9848484848484848,False,
zm1_1,9,97,0.002624796602375937,0.0199685167910447,0.0004498979046054154,0.0025338763302631,0.9933361058160503,0.9474113805970148,False,
zm1_1,10,97,0.007428693142018986,0.0253993339248101,0.0010892858521829494,0.0043150359031526,0.9807981218911426,0.9316394434361768,False,
zm1_10,1,97,0.000748712986145465,0.0148808349544973,0.00010792108695352164,0.0017917211358171,0.9980612449153552,0.9608108108108108,False,
zm1_10,2,97,0.0005439948493723227,0.0055932971014492,9.086703674331959e-05,0.000801282051282,0.998614482070031,0.9855072463768116,False,
zm1_10,3,97,0.0009767699787972103,0.0102521929824561,0.00015211318367013712,0.0016025641025641,0.9974917245445382,0.9729427131927598,False,
zm1_10,4,97,0.001584608079633372,0.0097916666666666,0.00023814124970876805,0.0016025641025641,0.9959148106647924,0.975,False,
