group,track_id,longest_pg_el_run,pg_el_count,total_frames,event_rule_prediction,germination_target,final_label
pg1_8,1,60,61,97,GERMINATED,1,GERMINATED
pg1_8,2,71,71,97,GERMINATED,1,GERMINATED
pg1_8,3,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg1_8,4,71,71,97,GERMINATED,1,GERMINATED
pg1_8,5,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg1_8,6,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg1_8,7,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg1_8,8,70,70,97,GERMINATED,1,GERMINATED
pg1_8,9,81,83,97,GERMINATED,1,GERMINATED
pg1_9,0,85,85,97,GERMINATED,1,GERMINATED
pg1_9,1,57,57,97,GERMINATED,1,GERMINATED
pg1_9,2,34,34,97,GERMINATED,1,GERMINATED
pg1_9,3,51,52,97,GERMINATED,1,GERMINATED
pg1_9,4,56,56,97,GERMINATED,1,GERMINATED
pg1_9,5,68,68,97,GERMINATED,1,GERMINATED
pg1_9,6,71,71,97,GERMINATED,1,GERMINATED
pg1_9,7,75,75,97,GERMINATED,1,GERMINATED
pg1_9,8,65,65,97,GERMINATED,1,GERMINATED
pg1_9,9,57,57,97,GERMINATED,1,GERMINATED
pg2_1,0,72,72,97,GERMINATED,1,GERMINATED
pg2_1,1,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg2_1,2,65,65,97,GERMINATED,1,GERMINATED
pg2_1,3,69,70,97,GERMINATED,1,GERMINATED
pg2_1,4,33,33,97,GERMINATED,1,GERMINATED
pg2_1,5,36,36,97,GERMINATED,1,GERMINATED
pg2_1,6,79,83,97,GERMINATED,1,GERMINATED
pg2_1,7,80,80,97,GERMINATED,1,GERMINATED
pg2_1,8,64,64,97,GERMINATED,1,GERMINATED
pg2_1,9,67,67,97,GERMINATED,1,GERMINATED
pg2_10,0,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg2_10,1,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg2_10,2,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg2_10,3,77,77,97,GERMINATED,1,GERMINATED
pg2_10,4,80,80,97,GERMINATED,1,GERMINATED
pg2_10,5,79,79,97,GERMINATED,1,GERMINATED
pg2_10,6,79,79,97,GERMINATED,1,GERMINATED
pg2_10,7,47,47,97,GERMINATED,1,GERMINATED
pg2_10,8,80,80,97,GERMINATED,1,GERMINATED
pg2_10,9,82,82,97,GERMINATED,1,GERMINATED
pg2_11,0,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg2_11,1,78,78,97,GERMINATED,1,GERMINATED
pg2_11,2,83,83,97,GERMINATED,1,GERMINATED
pg2_11,3,30,31,97,GERMINATED,1,GERMINATED
pg2_11,4,78,78,97,GERMINATED,1,GERMINATED
pg2_11,5,59,59,97,GERMINATED,1,GERMINATED
pg2_11,6,77,77,97,GERMINATED,1,GERMINATED
pg2_11,7,79,79,97,GERMINATED,1,GERMINATED
pg2_11,8,77,79,97,GERMINATED,1,GERMINATED
pg2_11,9,73,73,97,GERMINATED,1,GERMINATED
pg2_12,0,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg2_12,1,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg2_12,2,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg2_12,3,68,68,97,GERMINATED,1,GERMINATED
pg2_12,4,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg2_12,5,0,0,97,NON-GERMINATED,0,NON-GERMINATED
pg2_12,6,73,73,97,GERMINATED,1,GERMINATED
