bin,mean_predicted_probability,observed_fraction_positive,absolute_calibration_gap
1,0.015075167041809287,0.1111111111111111,0.09603594406930181
2,0.182186167880417,1.0,0.817813832119583
3,0.3297759409056536,1.0,0.6702240590943465
4,0.4593948656441766,0.0,0.4593948656441766
5,0.5247751024453532,0.0,0.5247751024453532
6,0.6566408427872357,1.0,0.34335915721276433
7,0.9967169055454145,0.9657534246575342,0.030963480887880257
