feature_set,model,threshold,TN,FP,FN,TP,accuracy,precision,recall,f1
FULL_20_FEATURES,Gradient Boosting,0.45,23,13,4,125,0.896969696969697,0.9057971014492754,0.9689922480620154,0.9363295880149812
FULL_20_FEATURES,Logistic Regression,0.45,26,10,6,123,0.9030303030303031,0.924812030075188,0.9534883720930233,0.9389312977099237
FULL_20_FEATURES,Random Forest,0.45,22,14,6,123,0.8787878787878788,0.8978102189781022,0.9534883720930233,0.924812030075188
FULL_20_FEATURES,SVM,0.475,23,13,3,126,0.9030303030303031,0.9064748201438849,0.9767441860465116,0.9402985074626866
REDUCED_16_FEATURES,Gradient Boosting,0.425,26,10,4,125,0.9151515151515152,0.9259259259259259,0.9689922480620154,0.946969696969697
REDUCED_16_FEATURES,Logistic Regression,0.475,27,9,6,123,0.9090909090909091,0.9318181818181818,0.9534883720930233,0.9425287356321839
REDUCED_16_FEATURES,Random Forest,0.425,20,16,6,123,0.8666666666666667,0.8848920863309353,0.9534883720930233,0.917910447761194
REDUCED_16_FEATURES,SVM,0.575,25,11,6,123,0.896969696969697,0.917910447761194,0.9534883720930233,0.935361216730038
