feature_set,model,accuracy,precision,recall,f1,roc_auc
FULL_20_FEATURES,Logistic Regression,0.9030303030303031,0.937984496124031,0.937984496124031,0.937984496124031,0.9515503875968992
FULL_20_FEATURES,Random Forest,0.8727272727272727,0.9090909090909091,0.9302325581395349,0.9195402298850575,0.9343238587424634
FULL_20_FEATURES,Gradient Boosting,0.8909090909090909,0.9172932330827067,0.9457364341085271,0.9312977099236641,0.9409991386735573
FULL_20_FEATURES,SVM,0.8848484848484849,0.9044117647058824,0.9534883720930233,0.9283018867924528,0.9373385012919897
REDUCED_16_FEATURES,Logistic Regression,0.9030303030303031,0.937984496124031,0.937984496124031,0.937984496124031,0.9526270456503015
REDUCED_16_FEATURES,Random Forest,0.8606060606060606,0.9076923076923077,0.9147286821705426,0.9111969111969112,0.9334625322997415
REDUCED_16_FEATURES,Gradient Boosting,0.9151515151515152,0.9389312977099237,0.9534883720930233,0.9461538461538461,0.9489664082687339
REDUCED_16_FEATURES,SVM,0.8848484848484849,0.9044117647058824,0.9534883720930233,0.9283018867924528,0.9414298018949182
