group,frame,pg_el,pg_im
pg1_11,72,8,2
pg1_11,73,8,2
pg1_11,74,8,2
pg1_11,75,8,2
pg1_11,76,8,2
pg1_11,77,8,2
pg1_11,78,8,2
pg1_11,79,8,2
pg1_11,80,8,2
pg1_11,81,8,2
pg1_11,82,8,2
pg1_11,83,8,2
pg1_11,84,8,2
pg1_11,85,8,2
pg1_11,86,8,2
pg1_11,87,8,2
pg1_11,88,8,2
pg1_11,89,8,2
pg1_11,90,8,2
pg1_11,91,8,2
pg1_11,92,8,2
pg1_11,93,8,2
pg1_11,94,9,1
pg1_11,95,9,1
pg1_11,96,9,1
pg1_11,97,9,1
pg1_12,1,0,10
pg1_12,2,0,10
pg1_12,3,0,10
pg1_12,4,0,10
pg1_12,5,0,10
pg1_12,6,0,10
pg1_12,7,0,10
pg1_12,8,0,10
pg1_12,9,0,10
pg1_12,10,0,10
pg1_12,11,0,10
pg1_12,12,0,10
pg1_12,13,0,10
pg1_12,14,1,9
pg1_12,15,1,9
pg1_12,16,2,8
pg1_12,17,2,8
pg1_12,18,3,7
pg1_12,19,3,7
pg1_12,20,3,7
pg1_12,21,4,6
pg1_12,22,4,6
pg1_12,23,4,6
pg1_12,24,4,6
pg1_12,25,4,6
pg1_12,26,5,5
pg1_12,27,6,4
pg1_12,28,6,4
pg1_12,29,8,2
pg1_12,30,8,2
pg1_12,31,8,2
pg1_12,32,9,1
pg1_12,33,9,1
pg1_12,34,9,1
pg1_12,35,9,1
pg1_12,36,10,0
pg1_12,37,10,0
pg1_12,38,10,0
pg1_12,39,10,0
pg1_12,40,10,0
pg1_12,41,10,0
pg1_12,42,10,0
pg1_12,43,10,0
pg1_12,44,10,0
pg1_12,45,10,0
pg1_12,46,10,0
pg1_12,47,10,0
pg1_12,48,10,0
pg1_12,49,10,0
pg1_12,50,10,0
pg1_12,51,10,0
pg1_12,52,10,0
pg1_12,53,10,0
pg1_12,54,10,0
pg1_12,55,10,0
pg1_12,56,10,0
pg1_12,57,10,0
pg1_12,58,10,0
pg1_12,59,10,0
pg1_12,60,10,0
pg1_12,61,10,0
pg1_12,62,10,0
pg1_12,63,10,0
pg1_12,64,10,0
pg1_12,65,10,0
pg1_12,66,10,0
pg1_12,67,10,0
pg1_12,68,10,0
pg1_12,69,10,0
pg1_12,70,10,0
pg1_12,71,10,0
pg1_12,72,10,0
pg1_12,73,10,0
pg1_12,74,10,0
pg1_12,75,10,0
pg1_12,76,10,0
pg1_12,77,10,0
pg1_12,78,10,0
pg1_12,79,10,0
pg1_12,80,10,0
pg1_12,81,10,0
pg1_12,82,10,0
pg1_12,83,10,0
pg1_12,84,10,0
pg1_12,85,10,0
pg1_12,86,10,0
pg1_12,87,10,0
pg1_12,88,10,0
pg1_12,89,10,0
pg1_12,90,10,0
pg1_12,91,10,0
pg1_12,92,10,0
pg1_12,93,10,0
pg1_12,94,10,0
pg1_12,95,10,0
pg1_12,96,10,0
pg1_12,97,10,0
pg1_2,1,0,10
pg1_2,2,0,10
pg1_2,3,0,10
pg1_2,4,0,10
pg1_2,5,0,10
pg1_2,6,0,10
pg1_2,7,0,10
pg1_2,8,0,10
pg1_2,9,0,10
pg1_2,10,0,10
pg1_2,11,0,10
pg1_2,12,0,10
pg1_2,13,0,10
pg1_2,14,0,10
pg1_2,15,1,9
pg1_2,16,1,9
pg1_2,17,1,9
pg1_2,18,2,8
pg1_2,19,2,8
