group,frame,pg_im_count,pg_el_count,total_objects
pg1_11,33,4,6,10
pg1_11,34,4,6,10
pg1_11,35,4,6,10
pg1_11,36,4,6,10
pg1_11,37,4,6,10
pg1_11,38,4,6,10
pg1_11,39,4,6,10
pg1_11,40,3,7,10
pg1_11,41,3,7,10
pg1_11,42,3,7,10
pg1_11,43,3,7,10
pg1_11,44,3,7,10
pg1_11,45,3,7,10
pg1_11,46,3,7,10
pg1_11,47,3,7,10
pg1_11,48,2,8,10
pg1_11,49,2,8,10
pg1_11,50,2,8,10
pg1_11,51,2,8,10
pg1_11,52,2,8,10
pg1_11,53,2,8,10
pg1_11,54,2,8,10
pg1_11,55,2,8,10
pg1_11,56,2,8,10
pg1_11,57,2,8,10
pg1_11,58,2,8,10
pg1_11,59,2,8,10
pg1_11,60,2,8,10
pg1_11,61,2,8,10
pg1_11,62,2,8,10
pg1_11,63,2,8,10
pg1_11,64,2,8,10
pg1_11,65,2,8,10
pg1_11,66,2,8,10
pg1_11,67,2,8,10
pg1_11,68,2,8,10
pg1_11,69,2,8,10
pg1_11,70,2,8,10
pg1_11,71,2,8,10
pg1_11,72,2,8,10
pg1_11,73,2,8,10
pg1_11,74,2,8,10
pg1_11,75,2,8,10
pg1_11,76,2,8,10
pg1_11,77,2,8,10
pg1_11,78,2,8,10
pg1_11,79,2,8,10
pg1_11,80,2,8,10
pg1_11,81,2,8,10
pg1_11,82,2,8,10
pg1_11,83,2,8,10
pg1_11,84,2,8,10
pg1_11,85,2,8,10
pg1_11,86,2,8,10
pg1_11,87,2,8,10
pg1_11,88,2,8,10
pg1_11,89,2,8,10
pg1_11,90,2,8,10
pg1_11,91,2,8,10
pg1_11,92,2,8,10
pg1_11,93,2,8,10
pg1_11,94,1,9,10
pg1_11,95,1,9,10
pg1_11,96,1,9,10
pg1_11,97,1,9,10
pg1_12,1,10,0,10
pg1_12,2,10,0,10
pg1_12,3,10,0,10
pg1_12,4,10,0,10
pg1_12,5,10,0,10
pg1_12,6,10,0,10
pg1_12,7,10,0,10
pg1_12,8,10,0,10
pg1_12,9,10,0,10
pg1_12,10,10,0,10
pg1_12,11,10,0,10
pg1_12,12,10,0,10
pg1_12,13,10,0,10
pg1_12,14,9,1,10
pg1_12,15,9,1,10
