correlation_threshold,starting_features,removed_features,remaining_features,mean_cv_f1,std_cv_f1
0.8,30,21,9,0.9423097614361167,0.01855904897324614
0.85,30,17,13,0.9421815666916548,0.019697577357791672
0.9,30,15,15,0.9453073395724358,0.016783427196423933
0.95,30,12,18,0.9451937083612039,0.019326733623034588
