seed_key,group,track_id,width_change_p15,mean_iou_p15,height_change_p15,area_change_p15,std_center_x_p15,std_center_y_p15,std_iou_p15,middle_mean_width_p15,movement_std_p15,median_movement_p15,middle_mean_height_p15,early_mean_area_p15,max_movement_p15,early_mean_width_p15,middle_mean_area_p15,width_change_reconstructed,mean_iou_reconstructed,height_change_reconstructed,area_change_reconstructed,std_center_x_reconstructed,std_center_y_reconstructed,std_iou_reconstructed,middle_mean_width_reconstructed,movement_std_reconstructed,median_movement_reconstructed,middle_mean_height_reconstructed,early_mean_area_reconstructed,max_movement_reconstructed,early_mean_width_reconstructed,middle_mean_area_reconstructed
pg1_10__0,pg1_10,0,7.0,0.9929870065472898,1.0,297.0,0.4110158140051458,0.9546803669499248,0.0234172778942198,40.65625,0.3397032116517779,0.0,37.46875,1446.75,2.1213203435596424,38.96875,1523.40625,7.0,0.9929870065472898,1.0,297.0,0.41101581400514586,0.9546803669499248,0.023417277894219893,40.65625,0.3397032116517779,0.0,37.46875,1446.75,2.1213203435596424,38.96875,1523.40625
pg1_10__1,pg1_10,1,0.0,0.9990234375,-1.0,-41.0,0.0,0.38903014977553,0.0054372698855761,41.0,0.086996318169219,0.0,31.0,1281.25,0.5,41.0,1271.0,0.0,0.9990234375,-1.0,-41.0,0.0,0.38903014977553,0.005437269885576193,41.0,0.08699631816921909,0.0,31.0,1281.25,0.5,41.0,1271.0
pg1_10__2,pg1_10,2,4.0,0.9947544106548464,-6.0,-94.0,0.8430632594740272,0.4812898494943278,0.0257033371057433,37.0,0.2794681837725708,0.0,37.0,1371.1875,2.23606797749979,36.75,1369.0,4.0,0.9947544106548465,-6.0,-94.0,0.8430632594740272,0.4812898494943278,0.025703337105743355,37.0,0.2794681837725708,0.0,37.0,1371.1875,2.23606797749979,36.75,1369.0
pg1_10__3,pg1_10,3,102.0,0.9753259754455031,49.0,10887.0,11.508463571022135,2.836841047224645,0.0287440489353642,47.0625,0.7404965710669876,0.5,40.9375,1563.6875,3.1622776601683795,39.65625,1931.3125,102.0,0.9753259754455031,49.0,10887.0,11.508463571022137,2.836841047224645,0.02874404893536424,47.0625,0.7404965710669876,0.5,40.9375,1563.6875,3.1622776601683795,39.65625,1931.3125
pg1_10__4,pg1_10,4,66.0,0.9616970731835132,115.0,13991.0,11.83416920810238,10.911461668756903,0.0319973868917045,43.8125,0.7637460491773956,0.8535533905932737,43.125,1261.09375,2.692582403567252,34.84375,1941.59375,66.0,0.9616970731835132,115.0,13991.0,11.834169208102379,10.911461668756905,0.03199738689170455,43.8125,0.7637460491773956,0.8535533905932737,43.125,1261.09375,2.692582403567252,34.84375,1941.59375
pg1_10__5,pg1_10,5,45.0,0.9760964392231476,89.0,9233.0,4.116165776980037,8.728248703668793,0.0255685243482119,43.6875,0.5735692559284462,0.25,53.21875,1668.84375,1.8027756377319943,37.5625,2339.84375,45.0,0.9760964392231477,89.0,9233.0,4.116165776980037,8.728248703668793,0.02556852434821199,43.6875,0.5735692559284462,0.25,53.21875,1668.84375,1.8027756377319946,37.5625,2339.84375
pg1_10__6,pg1_10,6,64.0,0.9558599642421348,175.0,21524.0,8.789002925852937,4.996991336265186,0.0587892436767162,39.25,1.7365810619248458,0.5,53.125,1710.75,11.672617529928752,40.90625,2078.59375,64.0,0.9558599642421347,175.0,21524.0,8.789002925852937,4.996991336265186,0.05878924367671625,39.25,1.7365810619248458,0.5,53.125,1710.75,11.672617529928752,40.90625,2078.59375
pg1_10__7,pg1_10,7,0.0,0.9982719264403292,0.0,0.0,0.3205837485663136,0.3192548982928251,0.0087465659958005,35.0,0.1415561658792839,0.0,36.0,1263.40625,1.0,35.125,1260.0,0.0,0.9982719264403291,0.0,0.0,0.3205837485663136,0.31925489829282516,0.008746565995800534,35.0,0.1415561658792839,0.0,36.0,1263.40625,1.0,35.125,1260.0
pg1_10__8,pg1_10,8,246.0,0.9552256062371052,75.0,28818.0,29.218099032707983,12.027881927877132,0.0614160652523618,62.53125,1.325599647788415,1.4142135623730951,54.0625,1163.71875,5.830951894845301,31.6875,3678.8125,246.0,0.9552256062371053,75.0,28818.0,29.218099032707983,12.027881927877132,0.061416065252361866,62.53125,1.3255996477884153,1.4142135623730951,54.0625,1163.71875,5.830951894845301,31.6875,3678.8125
pg1_10__9,pg1_10,9,116.0,0.9756498731440316,21.0,7357.0,17.543640074011005,1.4485728387659114,0.0322765252456734,45.71875,0.8170467274219847,0.25,35.28125,1548.5625,2.23606797749979,42.71875,1612.78125,116.0,0.9756498731440315,21.0,7357.0,17.543640074011005,1.4485728387659114,0.03227652524567348,45.71875,0.8170467274219847,0.25,35.28125,1548.5625,2.23606797749979,42.71875,1612.78125
