feature,correct_mean,error_mean,correct_median,error_median,mean_difference
width_change,59.161490683229815,24.22222222222222,41.0,3.0,-34.93926846100759
mean_iou,0.9758903372388964,0.9882751375594796,0.9728612002770892,0.995321861383442,0.0123848003205832
height_change,60.099378881987576,31.555555555555557,50.0,2.0,-28.54382332643202
area_change,9821.695652173914,4811.111111111111,5830.0,267.0,-5010.584541062803
std_center_x,6.28199582298379,3.223670476563032,3.8094283133853537,0.8608093090782724,-3.058325346420758
std_center_y,6.341462389144684,4.46394027888378,4.027327207752525,0.5973601899306445,-1.8775221102609043
std_iou,0.03743436554543114,0.02103081250356872,0.0372245684474572,0.0196443066217078,-0.01640355304186242
middle_mean_width,46.006017080745345,42.36805555555556,43.78125,41.75,-3.6379615251897874
movement_std,0.7750978516927454,0.4286115065222454,0.7395490058061313,0.332962159781884,-0.3464863451705
median_movement,0.40594498163286363,0.25424951236341525,0.5,0.0,-0.15169546926944838
middle_mean_height,44.13606366459627,44.21180555555556,41.6875,42.0,0.07574189095928574
early_mean_area,1444.7278726708075,1532.8402777777778,1426.71875,1563.75,88.1124051069703
max_movement,4.997066489641019,2.657630000363004,4.47213595499958,3.0413812651491097,-2.3394364892780146
early_mean_width,38.73233695652174,38.541666666666664,38.53125,38.65625,-0.1906702898550776
middle_mean_area,2109.961956521739,1926.9965277777778,1877.84375,1815.15625,-182.96542874396118
