group,track_id,total_frames,mean_match_cost,max_match_cost,mean_movement,median_movement,max_movement,mean_center_x,mean_center_y,mean_width,mean_height,max_width,min_width,max_height,min_height,duration_hours,width_change,height_change,width_growth_ratio,height_growth_ratio,class_transition_count,movement_std,jumps_gt_010,jumps_gt_020,jumps_gt_030,rotation_0_count,rotation_90_count,rotation_180_count,rotation_270_count
zm1_1,1,72,0.0007490170611418458,0.0157536268556005,7.599300129925557e-05,0.0,0.0011331839442092,0.5889089209401709,0.2576455662393162,0.10352118945868945,0.1203926282051282,0.10416666666666667,0.09615384615384616,0.12179487179487179,0.1201923076923077,,0.008012820512820512,-0.0016025641025640969,1.0833333333333333,0.986842105263158,0,0.0002560552239673018,0,0,0,,,,
zm1_1,2,72,0.0003037197610073222,0.008235294117647,3.338675213675e-05,0.0,0.000801282051282,0.3366608796296297,0.266025641025641,0.1403356481481481,0.11538461538461539,0.14102564102564102,0.1330128205128205,0.11538461538461539,0.11538461538461539,,0.008012820512820512,0.0,1.0602409638554218,1.0,0,0.00016011723835845413,0,0,0,,,,
zm1_1,3,72,0.0006841197955004459,0.0090162448156956,0.00010477000492312778,0.0,0.0011331839442092,0.7003984152421653,0.364638977920228,0.14986200142450143,0.1200810185185185,0.15064102564102563,0.14743589743589744,0.12179487179487179,0.11217948717948718,,0.0016025641025640969,0.008012820512820512,1.0108695652173914,1.0714285714285714,1,0.00027963773623685404,0,0,0,,,,
zm1_1,4,72,0.0004552209238607042,0.0051874999999999,7.790242165241666e-05,0.0,0.000801282051282,0.4393028846153845,0.4310229700854701,0.12428774928774929,0.15397970085470084,0.125,0.11858974358974358,0.15705128205128205,0.15224358974358973,,0.006410256410256415,0.004807692307692318,1.0540540540540542,1.0315789473684212,1,0.00023738792075877135,0,0,0,,,,
zm1_1,5,72,0.0010676004393757486,0.0055932971014492,0.0001780626780626667,0.0,0.000801282051282,0.31399127492877493,0.4584891381766383,0.1441417378917379,0.11680911680911682,0.15064102564102563,0.1346153846153846,0.11858974358974358,0.10897435897435898,,0.016025641025641024,0.009615384615384609,1.119047619047619,1.088235294117647,1,0.00033312476734096325,0,0,0,,,,
zm1_1,6,72,0.0007453050088529861,0.0134494811857672,0.0001185261033194486,0.0,0.0017917211358171,0.5242832977207978,0.5741185897435899,0.14912749287749286,0.12860576923076922,0.15064102564102563,0.14262820512820512,0.12980769230769232,0.1282051282051282,,0.008012820512820512,-0.0016025641025641246,1.0561797752808988,0.9876543209876542,0,0.00033285911024768524,0,0,0,,,,
zm1_1,7,72,0.0006712045149495125,0.0095994458179166,0.00010477000492312778,0.0,0.0011331839442092,0.7839431980056979,0.5993255876068376,0.11502849002849007,0.1499065170940171,0.11698717948717949,0.10897435897435898,0.15224358974358973,0.14423076923076922,,0.008012820512820512,0.008012820512820512,1.0735294117647058,1.0555555555555556,0,0.00027963773623685393,0,0,0,,,,
zm1_1,8,72,0.0006539275724267236,0.0058238636363636,0.00010016025641025001,0.0,0.000801282051282,0.2953058226495726,0.601273148148148,0.1312099358974359,0.10576923076923075,0.13141025641025642,0.12980769230769232,0.10737179487179487,0.10416666666666667,,0.0016025641025640969,0.0,1.0123456790123457,1.0,0,0.0002649991297139848,0,0,0,,,,
zm1_1,9,72,0.0005444461265899667,0.0060763888888889,8.903133903133334e-05,0.0,0.000801282051282,0.6235421118233619,0.7525151353276353,0.1022747507122507,0.14213853276353272,0.10256410256410256,0.09935897435897435,0.14423076923076922,0.1346153846153846,,0.0032051282051282076,0.009615384615384609,1.032258064516129,1.0714285714285714,1,0.0002518186542686973,0,0,0,,,,
zm1_1,10,72,0.004696730551734557,0.0253993339248101,0.0007146261948702236,0.000801282051282,0.0028890635220064,0.5233373397435899,0.7985554665242165,0.14336271367521367,0.1395343660968661,0.1907051282051282,0.1282051282051282,0.1858974358974359,0.1282051282051282,,0.0625,0.05769230769230771,1.4875,1.4500000000000002,1,0.0008640966657620147,0,0,0,,,,
zm1_10,1,72,0.0008818707603269028,0.0148808349544973,0.00012965502069836666,0.0,0.0017917211358171,0.5589053596866097,0.20677528490028488,0.1255119301994302,0.13310185185185183,0.1266025641025641,0.11538461538461539,0.1362179487179487,0.1266025641025641,,0.011217948717948706,0.009615384615384609,1.097222222222222,1.0759493670886076,0,0.00036713131886078937,0,0,0,,,,
zm1_10,2,72,0.0007328819498488236,0.0055932971014492,0.00012241809116808334,0.0,0.000801282051282,0.2907986111111111,0.27630876068376076,0.11044337606837609,0.13728632478632477,0.11057692307692307,0.10897435897435898,0.14102564102564102,0.125,,0.0016025641025640969,0.016025641025641024,1.0147058823529411,1.1282051282051282,0,0.0002882797775771854,0,0,0,,,,
zm1_10,3,72,0.0007182085719930737,0.0102521929824561,0.00011128917378916805,0.0,0.0016025641025641,0.42522480413105407,0.3955551103988604,0.10685986467236466,0.12159455128205127,0.10737179487179487,0.10576923076923077,0.1266025641025641,0.11858974358974358,,0.0016025641025640969,0.0048076923076923045,1.0151515151515151,1.0394736842105263,1,0.00030760939639166366,0,0,0,,,,
zm1_10,4,72,0.0012191585556902652,0.0097916666666666,0.00018919159544158472,0.0,0.0016025641025641,0.6908386752136753,0.4078525641025641,0.12816061253561253,0.11391559829059829,0.1330128205128205,0.125,0.11858974358974358,0.10576923076923077,,0.008012820512820512,0.012820512820512817,1.064102564102564,1.121212121212121,1,0.0003655641850439824,0,0,0,,,,
zm1_10,5,72,0.001647434884041032,0.015278616411798,0.0002409441944875375,0.0,0.0017917211358171,0.8775819088319087,0.5343994836182335,0.10857371794871798,0.12586805555555555,0.11057692307692307,0.10256410256410256,0.12980769230769232,0.12179487179487179,,0.006410256410256415,0.008012820512820526,1.0625,1.0657894736842106,0,0.00048602484788160905,0,0,0,,,,
zm1_10,6,72,0.0005355722524934793,0.0119791666666666,7.790242165241805e-05,0.0,0.0016025641025641,0.22208867521367523,0.5587161680911682,0.14236111111111105,0.10389957264957264,0.14423076923076922,0.14102564102564102,0.10576923076923077,0.10096153846153846,,0.0032051282051281937,0.0048076923076923045,1.0227272727272727,1.0476190476190477,1,0.0002723744268723287,0,0,0,,,,
zm1_10,7,72,0.00042138735947966116,0.005250563063063,6.67735042735e-05,0.0,0.000801282051282,0.38806534900284906,0.5727163461538461,0.11925747863247861,0.1326121794871795,0.1201923076923077,0.11698717948717949,0.1330128205128205,0.12980769230769232,,0.0032051282051282076,0.0032051282051281937,1.0273972602739727,1.0246913580246912,0,0.00022146265961239212,0,0,0,,,,
zm1_10,8,72,0.0006967158170438736,0.0107692307692307,7.790242165241666e-05,0.0,0.000801282051282,0.6207487535612537,0.5955528846153845,0.11133368945868947,0.10723824786324787,0.11378205128205128,0.10897435897435898,0.10897435897435898,0.10096153846153846,,0.0032051282051282076,0.008012820512820512,1.028985507246377,1.0793650793650793,0,0.0002373879207587715,0,0,0,,,,
zm1_10,9,72,0.0007500597518573901,0.0157516891891892,0.0001224180911680861,0.0,0.0024038461538461,0.4415731837606837,0.7394386574074073,0.13928952991452992,0.11999198717948717,0.14423076923076922,0.1362179487179487,0.1201923076923077,0.11378205128205128,,0.008012820512820512,0.006410256410256415,1.0588235294117647,1.0563380281690142,0,0.0003929942036816463,0,0,0,,,,
