group,frame,min_index,max_index,index_count,unique_indices
pg4_10,1,0,10,11,11
pg4_10,2,0,10,11,11
pg4_10,3,0,10,11,11
pg4_10,4,0,10,11,11
pg4_10,5,0,10,11,11
pg4_10,6,0,10,11,11
pg4_10,7,0,10,11,11
pg4_10,8,0,10,11,11
pg4_10,9,0,10,11,11
pg4_10,10,0,10,11,11
pg4_10,11,0,10,11,11
pg4_10,12,0,10,11,11
pg4_10,13,0,10,11,11
pg4_10,14,0,10,11,11
pg4_10,15,0,10,11,11
pg4_10,16,0,10,11,11
pg4_10,17,0,10,11,11
pg4_10,18,0,10,11,11
pg4_10,19,0,10,11,11
pg4_10,20,0,10,11,11
pg4_10,21,0,10,11,11
pg4_10,22,0,10,11,11
pg4_10,23,0,10,11,11
pg4_10,24,0,10,11,11
pg4_10,25,0,10,11,11
pg4_10,26,0,10,11,11
pg4_10,27,0,10,11,11
pg4_10,28,0,10,11,11
pg4_10,29,0,10,11,11
pg4_10,30,0,10,11,11
pg4_10,31,0,10,11,11
pg4_10,32,0,10,11,11
pg4_10,33,0,10,11,11
pg4_10,34,0,10,11,11
pg4_10,35,0,10,11,11
pg4_10,36,0,10,11,11
pg4_10,37,0,10,11,11
pg4_10,38,0,10,11,11
pg4_10,39,0,10,11,11
pg4_10,40,0,10,11,11
pg4_10,41,0,10,11,11
pg4_10,42,0,10,11,11
pg4_10,43,0,10,11,11
pg4_10,44,0,10,11,11
pg4_10,45,0,10,11,11
pg4_10,46,0,10,11,11
pg4_10,47,0,10,11,11
pg4_10,48,0,10,11,11
pg4_10,49,0,10,11,11
pg4_10,50,0,10,11,11
pg4_10,51,0,10,11,11
pg4_10,52,0,10,11,11
pg4_10,53,0,10,11,11
pg4_10,54,0,10,11,11
pg4_10,55,0,10,11,11
pg4_10,56,0,10,11,11
pg4_10,57,0,10,11,11
pg4_10,58,0,10,11,11
pg4_10,59,0,10,11,11
pg4_10,60,0,10,11,11
pg4_10,61,0,10,11,11
pg4_10,62,0,10,11,11
pg4_10,63,0,10,11,11
pg4_10,64,0,10,11,11
pg4_10,65,0,10,11,11
pg4_10,66,0,10,11,11
pg4_10,67,0,10,11,11
pg4_10,68,0,10,11,11
pg4_10,69,0,10,11,11
pg4_10,70,0,10,11,11
pg4_10,71,0,10,11,11
pg4_10,72,0,10,11,11
pg4_10,73,0,10,11,11
pg4_10,74,0,10,11,11
pg4_10,75,0,10,11,11
pg4_10,76,0,10,11,11
pg4_10,77,0,10,11,11
pg4_10,78,0,10,11,11
pg4_10,79,0,10,11,11
pg4_10,80,0,10,11,11
pg4_10,81,0,10,11,11
pg4_10,82,0,10,11,11
pg4_10,83,0,10,11,11
pg4_10,84,0,10,11,11
pg4_10,85,0,10,11,11
pg4_10,86,0,10,11,11
pg4_10,87,0,10,11,11
pg4_10,88,0,10,11,11
pg4_10,89,0,10,11,11
pg4_10,90,0,10,11,11
pg4_10,91,0,10,11,11
pg4_10,92,0,10,11,11
pg4_10,93,0,10,11,11
pg4_10,94,0,10,11,11
pg4_10,95,0,10,11,11
pg4_10,96,0,10,11,11
pg4_10,97,0,10,11,11
pg6_5,1,0,10,11,11
pg6_5,2,0,10,11,11
pg6_5,3,0,10,11,11
pg6_5,4,0,10,11,11
pg6_5,5,0,10,11,11
pg6_5,6,0,10,11,11
pg6_5,7,0,10,11,11
pg6_5,8,0,10,11,11
pg6_5,9,0,10,11,11
pg6_5,10,0,10,11,11
pg6_5,11,0,10,11,11
pg6_5,12,0,10,11,11
pg6_5,13,0,10,11,11
pg6_5,14,0,10,11,11
pg6_5,15,0,10,11,11
pg6_5,16,0,10,11,11
pg6_5,17,0,10,11,11
pg6_5,18,0,10,11,11
pg6_5,19,0,10,11,11
pg6_5,20,0,10,11,11
pg6_5,21,0,10,11,11
pg6_5,22,0,10,11,11
pg6_5,23,0,10,11,11
pg6_5,24,0,10,11,11
pg6_5,25,0,10,11,11
pg6_5,26,0,10,11,11
pg6_5,27,0,10,11,11
pg6_5,28,0,10,11,11
pg6_5,29,0,10,11,11
pg6_5,30,0,10,11,11
pg6_5,31,0,10,11,11
pg6_5,32,0,10,11,11
pg6_5,33,0,10,11,11
pg6_5,34,0,10,11,11
pg6_5,35,0,10,11,11
pg6_5,36,0,10,11,11
pg6_5,37,0,10,11,11
pg6_5,38,0,10,11,11
pg6_5,39,0,10,11,11
pg6_5,40,0,10,11,11
pg6_5,41,0,10,11,11
pg6_5,42,0,10,11,11
pg6_5,43,0,10,11,11
pg6_5,44,0,10,11,11
pg6_5,45,0,10,11,11
pg6_5,46,0,10,11,11
pg6_5,47,0,10,11,11
pg6_5,48,0,10,11,11
pg6_5,49,0,10,11,11
pg6_5,50,0,10,11,11
pg6_5,51,0,10,11,11
pg6_5,52,0,10,11,11
pg6_5,53,0,10,11,11
pg6_5,54,0,10,11,11
pg6_5,55,0,10,11,11
pg6_5,56,0,10,11,11
pg6_5,57,0,10,11,11
pg6_5,58,0,10,11,11
pg6_5,59,0,10,11,11
pg6_5,60,0,10,11,11
pg6_5,61,0,10,11,11
pg6_5,62,0,10,11,11
pg6_5,63,0,10,11,11
pg6_5,64,0,10,11,11
pg6_5,65,0,10,11,11
pg6_5,66,0,10,11,11
pg6_5,67,0,10,11,11
pg6_5,68,0,10,11,11
pg6_5,69,0,10,11,11
pg6_5,70,0,10,11,11
pg6_5,71,0,10,11,11
pg6_5,72,0,10,11,11
pg6_5,73,0,10,11,11
pg6_5,74,0,10,11,11
pg6_5,75,0,10,11,11
pg6_5,76,0,10,11,11
pg6_5,77,0,10,11,11
pg6_5,78,0,10,11,11
pg6_5,79,0,10,11,11
pg6_5,80,0,10,11,11
pg6_5,81,0,10,11,11
pg6_5,82,0,10,11,11
pg6_5,83,0,10,11,11
pg6_5,84,0,10,11,11
pg6_5,85,0,10,11,11
pg6_5,86,0,10,11,11
pg6_5,87,0,10,11,11
pg6_5,88,0,10,11,11
pg6_5,89,0,10,11,11
pg6_5,90,0,10,11,11
pg6_5,91,0,10,11,11
pg6_5,92,0,10,11,11
pg6_5,93,0,10,11,11
pg6_5,94,0,10,11,11
pg6_5,95,0,10,11,11
pg6_5,96,0,10,11,11
pg6_5,97,0,10,11,11
pg8_1,1,0,11,12,12
pg8_1,2,0,11,12,12
pg8_1,3,0,11,12,12
pg8_1,4,0,11,12,12
pg8_1,5,0,11,12,12
pg8_1,6,0,11,12,12
pg8_1,7,0,11,12,12
pg8_1,8,0,11,12,12
pg8_1,9,0,11,12,12
pg8_1,10,0,11,12,12
pg8_1,11,0,11,12,12
pg8_1,12,0,11,12,12
pg8_1,13,0,11,12,12
pg8_1,14,0,11,12,12
pg8_1,15,0,11,12,12
pg8_1,16,0,11,12,12
pg8_1,17,0,11,12,12
pg8_1,18,0,11,12,12
pg8_1,19,0,11,12,12
pg8_1,20,0,11,12,12
pg8_1,21,0,11,12,12
pg8_1,22,0,11,12,12
pg8_1,23,0,11,12,12
pg8_1,24,0,11,12,12
pg8_1,25,0,11,12,12
pg8_1,26,0,11,12,12
pg8_1,27,0,11,12,12
pg8_1,28,0,11,12,12
pg8_1,29,0,11,12,12
pg8_1,30,0,11,12,12
pg8_1,31,0,11,12,12
pg8_1,32,0,11,12,12
pg8_1,33,0,11,12,12
pg8_1,34,0,11,12,12
pg8_1,35,0,11,12,12
pg8_1,36,0,11,12,12
pg8_1,37,0,11,12,12
pg8_1,38,0,11,12,12
pg8_1,39,0,11,12,12
pg8_1,40,0,11,12,12
pg8_1,41,0,11,12,12
pg8_1,42,0,11,12,12
pg8_1,43,0,11,12,12
pg8_1,44,0,11,12,12
pg8_1,45,0,11,12,12
pg8_1,46,0,11,12,12
pg8_1,47,0,11,12,12
pg8_1,48,0,11,12,12
pg8_1,49,0,11,12,12
pg8_1,50,0,11,12,12
pg8_1,51,0,11,12,12
pg8_1,52,0,11,12,12
pg8_1,53,0,11,12,12
pg8_1,54,0,11,12,12
pg8_1,55,0,11,12,12
pg8_1,56,0,11,12,12
pg8_1,57,0,11,12,12
pg8_1,58,0,11,12,12
pg8_1,59,0,11,12,12
pg8_1,60,0,11,12,12
pg8_1,61,0,11,12,12
pg8_1,62,0,11,12,12
pg8_1,63,0,11,12,12
pg8_1,64,0,11,12,12
pg8_1,65,0,11,12,12
pg8_1,66,0,11,12,12
pg8_1,67,0,11,12,12
pg8_1,68,0,11,12,12
pg8_1,69,0,11,12,12
pg8_1,70,0,11,12,12
pg8_1,71,0,11,12,12
pg8_1,72,0,11,12,12
pg8_1,73,0,11,12,12
pg8_1,74,0,11,12,12
pg8_1,75,0,11,12,12
pg8_1,76,0,11,12,12
pg8_1,77,0,11,12,12
pg8_1,78,0,11,12,12
pg8_1,79,0,11,12,12
pg8_1,80,0,11,12,12
pg8_1,81,0,11,12,12
pg8_1,82,0,11,12,12
pg8_1,83,0,11,12,12
pg8_1,84,0,11,12,12
pg8_1,85,0,11,12,12
pg8_1,86,0,11,12,12
pg8_1,87,0,11,12,12
pg8_1,88,0,11,12,12
pg8_1,89,0,11,12,12
pg8_1,90,0,11,12,12
pg8_1,91,0,11,12,12
pg8_1,92,0,11,12,12
pg8_1,93,0,11,12,12
pg8_1,94,0,11,12,12
pg8_1,95,0,11,12,12
pg8_1,96,0,11,12,12
pg8_1,97,0,11,12,12
