group,frame,object_count
pg4_10,1,11
pg4_10,2,11
pg4_10,3,11
pg4_10,4,11
pg4_10,5,11
pg4_10,6,11
pg4_10,7,11
pg4_10,8,11
pg4_10,9,11
pg4_10,10,11
pg4_10,11,11
pg4_10,12,11
pg4_10,13,11
pg4_10,14,11
pg4_10,15,11
pg4_10,16,11
pg4_10,17,11
pg4_10,18,11
pg4_10,19,11
pg4_10,20,11
pg4_10,21,11
pg4_10,22,11
pg4_10,23,11
pg4_10,24,11
pg4_10,25,11
pg4_10,26,11
pg4_10,27,11
pg4_10,28,11
pg4_10,29,11
pg4_10,30,11
pg4_10,31,11
pg4_10,32,11
pg4_10,33,11
pg4_10,34,11
pg4_10,35,11
pg4_10,36,11
pg4_10,37,11
pg4_10,38,11
pg4_10,39,11
pg4_10,40,11
pg4_10,41,11
pg4_10,42,11
pg4_10,43,11
pg4_10,44,11
pg4_10,45,11
pg4_10,46,11
pg4_10,47,11
pg4_10,48,11
pg4_10,49,11
pg4_10,50,11
pg4_10,51,11
pg4_10,52,11
pg4_10,53,11
pg4_10,54,11
pg4_10,55,11
pg4_10,56,11
pg4_10,57,11
pg4_10,58,11
pg4_10,59,11
pg4_10,60,11
pg4_10,61,11
pg4_10,62,11
pg4_10,63,11
pg4_10,64,11
pg4_10,65,11
pg4_10,66,11
pg4_10,67,11
pg4_10,68,11
pg4_10,69,11
pg4_10,70,11
pg4_10,71,11
pg4_10,72,11
pg4_10,73,11
pg4_10,74,11
pg4_10,75,11
pg4_10,76,11
pg4_10,77,11
pg4_10,78,11
pg4_10,79,11
pg4_10,80,11
pg4_10,81,11
pg4_10,82,11
pg4_10,83,11
pg4_10,84,11
pg4_10,85,11
pg4_10,86,11
pg4_10,87,11
pg4_10,88,11
pg4_10,89,11
pg4_10,90,11
pg4_10,91,11
pg4_10,92,11
pg4_10,93,11
pg4_10,94,11
pg4_10,95,11
pg4_10,96,11
pg4_10,97,11
pg6_5,1,11
pg6_5,2,11
pg6_5,3,11
pg6_5,4,11
pg6_5,5,11
pg6_5,6,11
pg6_5,7,11
pg6_5,8,11
pg6_5,9,11
pg6_5,10,11
pg6_5,11,11
pg6_5,12,11
pg6_5,13,11
pg6_5,14,11
pg6_5,15,11
pg6_5,16,11
pg6_5,17,11
pg6_5,18,11
pg6_5,19,11
pg6_5,20,11
pg6_5,21,11
pg6_5,22,11
pg6_5,23,11
pg6_5,24,11
pg6_5,25,11
pg6_5,26,11
pg6_5,27,11
pg6_5,28,11
pg6_5,29,11
pg6_5,30,11
pg6_5,31,11
pg6_5,32,11
pg6_5,33,11
pg6_5,34,11
pg6_5,35,11
pg6_5,36,11
pg6_5,37,11
pg6_5,38,11
pg6_5,39,11
pg6_5,40,11
pg6_5,41,11
pg6_5,42,11
pg6_5,43,11
pg6_5,44,11
pg6_5,45,11
pg6_5,46,11
pg6_5,47,11
pg6_5,48,11
pg6_5,49,11
pg6_5,50,11
pg6_5,51,11
pg6_5,52,11
pg6_5,53,11
pg6_5,54,11
pg6_5,55,11
pg6_5,56,11
pg6_5,57,11
pg6_5,58,11
pg6_5,59,11
pg6_5,60,11
pg6_5,61,11
pg6_5,62,11
pg6_5,63,11
pg6_5,64,11
pg6_5,65,11
pg6_5,66,11
pg6_5,67,11
pg6_5,68,11
pg6_5,69,11
pg6_5,70,11
pg6_5,71,11
pg6_5,72,11
pg6_5,73,11
pg6_5,74,11
pg6_5,75,11
pg6_5,76,11
pg6_5,77,11
pg6_5,78,11
pg6_5,79,11
pg6_5,80,11
pg6_5,81,11
pg6_5,82,11
pg6_5,83,11
pg6_5,84,11
pg6_5,85,11
pg6_5,86,11
pg6_5,87,11
pg6_5,88,11
pg6_5,89,11
pg6_5,90,11
pg6_5,91,11
pg6_5,92,11
pg6_5,93,11
pg6_5,94,11
pg6_5,95,11
pg6_5,96,11
pg6_5,97,11
pg8_1,1,12
pg8_1,2,12
pg8_1,3,12
pg8_1,4,12
pg8_1,5,12
pg8_1,6,12
pg8_1,7,12
pg8_1,8,12
pg8_1,9,12
pg8_1,10,12
pg8_1,11,12
pg8_1,12,12
pg8_1,13,12
pg8_1,14,12
pg8_1,15,12
pg8_1,16,12
pg8_1,17,12
pg8_1,18,12
pg8_1,19,12
pg8_1,20,12
pg8_1,21,12
pg8_1,22,12
pg8_1,23,12
pg8_1,24,12
pg8_1,25,12
pg8_1,26,12
pg8_1,27,12
pg8_1,28,12
pg8_1,29,12
pg8_1,30,12
pg8_1,31,12
pg8_1,32,12
pg8_1,33,12
pg8_1,34,12
pg8_1,35,12
pg8_1,36,12
pg8_1,37,12
pg8_1,38,12
pg8_1,39,12
pg8_1,40,12
pg8_1,41,12
pg8_1,42,12
pg8_1,43,12
pg8_1,44,12
pg8_1,45,12
pg8_1,46,12
pg8_1,47,12
pg8_1,48,12
pg8_1,49,12
pg8_1,50,12
pg8_1,51,12
pg8_1,52,12
pg8_1,53,12
pg8_1,54,12
pg8_1,55,12
pg8_1,56,12
pg8_1,57,12
pg8_1,58,12
pg8_1,59,12
pg8_1,60,12
pg8_1,61,12
pg8_1,62,12
pg8_1,63,12
pg8_1,64,12
pg8_1,65,12
pg8_1,66,12
pg8_1,67,12
pg8_1,68,12
pg8_1,69,12
pg8_1,70,12
pg8_1,71,12
pg8_1,72,12
pg8_1,73,12
pg8_1,74,12
pg8_1,75,12
pg8_1,76,12
pg8_1,77,12
pg8_1,78,12
pg8_1,79,12
pg8_1,80,12
pg8_1,81,12
pg8_1,82,12
pg8_1,83,12
pg8_1,84,12
pg8_1,85,12
pg8_1,86,12
pg8_1,87,12
pg8_1,88,12
pg8_1,89,12
pg8_1,90,12
pg8_1,91,12
pg8_1,92,12
pg8_1,93,12
pg8_1,94,12
pg8_1,95,12
pg8_1,96,12
pg8_1,97,12
