group,frame,class,count
pg6_5,38,pg_im,3
pg6_5,39,pg_el,8
pg6_5,39,pg_im,3
pg6_5,40,pg_el,8
pg6_5,40,pg_im,3
pg6_5,41,pg_el,9
pg6_5,41,pg_im,2
pg6_5,42,pg_el,9
pg6_5,42,pg_im,2
pg6_5,43,pg_el,9
pg6_5,43,pg_im,2
pg6_5,44,pg_el,9
pg6_5,44,pg_im,2
pg6_5,45,pg_el,9
pg6_5,45,pg_im,2
pg6_5,46,pg_el,9
pg6_5,46,pg_im,2
pg6_5,47,pg_el,9
pg6_5,47,pg_im,2
pg6_5,48,pg_el,9
pg6_5,48,pg_im,2
pg6_5,49,pg_el,9
pg6_5,49,pg_im,2
pg6_5,50,pg_el,9
pg6_5,50,pg_im,2
pg6_5,51,pg_el,9
pg6_5,51,pg_im,2
pg6_5,52,pg_el,9
pg6_5,52,pg_im,2
pg6_5,53,pg_el,9
pg6_5,53,pg_im,2
pg6_5,54,pg_el,9
pg6_5,54,pg_im,2
pg6_5,55,pg_el,9
pg6_5,55,pg_im,2
pg6_5,56,pg_el,9
pg6_5,56,pg_im,2
pg6_5,57,pg_el,9
pg6_5,57,pg_im,2
pg6_5,58,pg_el,9
pg6_5,58,pg_im,2
pg6_5,59,pg_el,9
pg6_5,59,pg_im,2
pg6_5,60,pg_el,9
pg6_5,60,pg_im,2
pg6_5,61,pg_el,9
pg6_5,61,pg_im,2
pg6_5,62,pg_el,9
pg6_5,62,pg_im,2
pg6_5,63,pg_el,9
pg6_5,63,pg_im,2
pg6_5,64,pg_el,9
pg6_5,64,pg_im,2
pg6_5,65,pg_el,9
pg6_5,65,pg_im,2
pg6_5,66,pg_el,9
pg6_5,66,pg_im,2
pg6_5,67,pg_el,9
pg6_5,67,pg_im,2
pg6_5,68,pg_el,9
pg6_5,68,pg_im,2
pg6_5,69,pg_el,9
pg6_5,69,pg_im,2
pg6_5,70,pg_el,9
pg6_5,70,pg_im,2
pg6_5,71,pg_el,9
pg6_5,71,pg_im,2
pg6_5,72,pg_el,9
pg6_5,72,pg_im,2
pg6_5,73,pg_el,9
pg6_5,73,pg_im,2
pg6_5,74,pg_el,9
pg6_5,74,pg_im,2
pg6_5,75,pg_el,9
pg6_5,75,pg_im,2
pg6_5,76,pg_el,9
pg6_5,76,pg_im,2
pg6_5,77,pg_el,9
pg6_5,77,pg_im,2
pg6_5,78,pg_el,9
pg6_5,78,pg_im,2
pg6_5,79,pg_el,9
pg6_5,79,pg_im,2
pg6_5,80,pg_el,9
pg6_5,80,pg_im,2
pg6_5,81,pg_el,9
pg6_5,81,pg_im,2
pg6_5,82,pg_el,9
pg6_5,82,pg_im,2
pg6_5,83,pg_el,9
pg6_5,83,pg_im,2
pg6_5,84,pg_el,9
pg6_5,84,pg_im,2
pg6_5,85,pg_el,9
pg6_5,85,pg_im,2
pg6_5,86,pg_el,9
pg6_5,86,pg_im,2
pg6_5,87,pg_el,9
pg6_5,87,pg_im,2
pg6_5,88,pg_el,9
pg6_5,88,pg_im,2
pg6_5,89,pg_el,9
pg6_5,89,pg_im,2
pg6_5,90,pg_el,9
pg6_5,90,pg_im,2
pg6_5,91,pg_el,9
pg6_5,91,pg_im,2
pg6_5,92,pg_el,9
pg6_5,92,pg_im,2
pg6_5,93,pg_el,9
pg6_5,93,pg_im,2
