feature_set,cv_f1_mean,cv_f1_std,fold_1,fold_2,fold_3,fold_4,fold_5
FULL_20_FEATURES,0.8948492773913381,0.01642659771397065,0.8695652173913043,0.8944723618090452,0.8900523560209425,0.9206349206349206,0.8995215311004785
WITHOUT_ZM_EL_FEATURES,0.8884500014381492,0.018977583485223153,0.9049773755656109,0.8679245283018868,0.8629441624365483,0.9064039408866995,0.9
GROWTH_SIZE_ONLY,0.8851539265600182,0.016095231118363112,0.908256880733945,0.8651162790697674,0.87,0.896551724137931,0.8858447488584474
MOTION_ONLY,0.8791865888334873,0.015044978069599937,0.9035087719298246,0.8658008658008658,0.8815165876777251,0.8609865470852018,0.8841201716738197
REDUCED_FEATURE_SET,0.9013632929043709,0.01927609807370009,0.875,0.9108910891089109,0.8865979381443299,0.93048128342246,0.9038461538461539
