group,track_id,frames,p15_max_feature_difference,p15_mean_feature_difference,p15_reproduction_passed
pg1_1,5,97,5.537115769190318e-05,5.420906511426765e-06,False
pg1_1,3,97,9.035271634673381e-05,7.723665173480406e-06,False
pg4_8,4,97,0.00027445771227696536,2.059866718382939e-05,False
pg1_2,6,97,0.00032782634694572543,2.2031861122041864e-05,False
pg5_5,2,97,0.00018757877086243713,1.9580252528664245e-05,False
