group,track_id,mean_displacement,median_displacement,max_displacement,std_displacement,large_jump_count_gt_10,large_jump_count_gt_20
pg1_1,0,1.2173229104909522,0.7071067811865476,3.5355339059327378,1.2236386714469691,0,0
pg1_1,1,0.12089115911941656,0.0,3.605551275463989,0.42813782163391095,0,0
pg1_1,2,0.07112944921610614,0.0,2.8284271247461903,0.33094400551686476,0,0
pg1_1,3,0.04856539229342063,0.0,3.1622776601683795,0.3310899716663929,0,0
pg1_1,4,0.02904422511740351,0.0,1.5811388300841898,0.18168819349092621,0,0
pg1_1,5,0.04382402897069321,0.0,1.5,0.19272248048625737,0,0
pg1_1,6,0.046283070402982684,0.0,2.23606797749979,0.2509223865276656,0,0
pg1_1,7,0.10407425764015565,0.0,4.242640687119285,0.5372594490219014,0,0
pg1_1,8,0.1875985563895859,0.0,4.6097722286464435,0.5647773440101949,0,0
pg1_1,9,0.9828939695804128,1.0,4.242640687119285,1.0308080703485938,0,0
pg1_10,0,0.12169659537883826,0.0,2.1213203435596424,0.3397032116517779,0,0
pg1_10,1,0.015625,0.0,0.5,0.08699631816921909,0,0
pg1_10,2,0.07232473706964936,0.0,2.23606797749979,0.2794681837725708,0,0
pg1_10,3,0.609044876483964,0.5,3.1622776601683795,0.7404965710669876,0,0
pg1_10,4,0.9256328316522625,0.8535533905932737,2.692582403567252,0.7637460491773956,0,0
pg1_10,5,0.49389773771536477,0.25,1.8027756377319946,0.5735692559284462,0,0
pg1_10,6,1.0495111792467835,0.5,11.672617529928752,1.7365810619248458,1,0
pg1_10,7,0.028199028970693204,0.0,1.0,0.1415561658792839,0,0
pg1_10,8,1.4471862609157222,1.4142135623730951,5.830951894845301,1.3255996477884153,0,0
pg1_10,9,0.7046255354505861,0.25,2.23606797749979,0.8170467274219847,0,0
pg1_11,0,0.015625,0.0,1.5,0.15229366163764005,0,0
pg1_11,1,0.19371606930592677,0.0,1.118033988749895,0.3086852514984501,0,0
pg1_11,2,0.08600642227065562,0.0,2.5495097567963922,0.3025908601751464,0,0
pg1_11,3,0.2859462981210276,0.0,2.23606797749979,0.39397192952994387,0,0
pg1_11,4,0.4076826533871545,0.0,3.605551275463989,0.5686635098725278,0,0
pg1_11,5,0.31805036203079273,0.0,1.8027756377319946,0.40874580594637094,0,0
pg1_11,6,0.4563205502110595,0.5,2.9154759474226504,0.515489950230273,0,0
pg1_11,7,0.9013793268720983,0.5,7.5,1.37216172847358,0,0
pg1_11,8,0.3274142275231662,0.0,1.8027756377319946,0.4473159848273645,0,0
pg1_11,9,0.47542418982674284,0.5,1.5811388300841898,0.4738065776885316,0,0
pg1_12,0,0.10732057955970827,0.0,2.5,0.3445150599557321,0,0
pg1_12,1,0.8041226866890065,0.5,5.656854249492381,1.1566164899187863,0,0
pg1_12,2,0.8414186744570299,0.5,4.716990566028302,0.9439136335535725,0,0
pg1_12,3,0.5013251172939167,0.25,5.220153254455275,0.7847678808222471,0,0
pg1_12,4,1.3035599630047874,1.118033988749895,6.519202405202649,1.3554297311864936,0,0
pg1_12,5,0.5329630651786114,0.5,4.0,0.7376146494989232,0,0
pg1_12,6,1.1798874427084545,0.6035533905932737,4.924428900898052,1.303461336546749,0,0
pg1_12,7,0.4804381811388922,0.0,2.5495097567963922,0.6381222354982518,0,0
pg1_12,8,0.12791991300956537,0.0,3.1622776601683795,0.391033667590092,0,0
pg1_12,9,1.1176025970489636,0.7071067811865476,8.246211251235321,1.3543624951994002,0,0
pg1_2,0,0.5177708573276903,0.0,3.8078865529319543,0.8339394498216373,0,0
pg1_2,1,0.09501375357874627,0.0,2.0,0.2725907554635898,0,0
pg1_2,2,0.48482503923817766,0.5,3.0,0.5537249750502194,0,0
