threshold_pixels,count_above_threshold,percentage
2,5225,6.60522855987055
5,283,0.35775687702265374
10,32,0.040453074433656956
15,4,0.0050566343042071195
20,2,0.0025283171521035598
30,1,0.0012641585760517799
40,0,0.0
