group,track_id,mean_displacement,median_displacement,max_displacement,std_displacement,large_jump_count_gt_10,large_jump_count_gt_20
pg7_12,7,1.2679818129964424,0.5,38.56488039654732,3.9560124648325186,1,1
pg3_1,3,0.7528143031133222,0.5,20.554804791094465,2.1282915194339966,1,1
pg3_2,8,0.8870163042527143,0.5,17.00735135169495,1.888747929888084,1,0
pg3_4,7,1.2470985042108782,0.7071067811865476,17.0,1.9497477155079124,1,0
pg7_8,0,1.3126595565719896,0.5,14.916433890176299,2.2385932834126496,1,0
pg1_6,7,0.7149411978920255,0.5,14.705441169852742,1.560183189102073,1,0
pg6_3,3,1.2872406608330929,1.0590169943749475,14.317821063276353,1.715217133319078,1,0
pg4_8,7,0.9991223489273583,1.0,14.142135623730951,1.5340524866750418,1,0
pg3_2,7,0.9844295274552796,0.5,13.583077707206124,1.6908647212223025,1,0
pg2_2,9,1.264834722905068,1.0,13.536986370680884,1.5841616469709334,1,0
pg3_10,9,1.2587483648347295,1.5,13.209844813622906,1.5022311364631036,1,0
pg2_2,2,0.44379091624792344,0.0,13.038404810405298,1.3706095198812687,1,0
pg2_12,6,1.2344601493786524,1.0,12.776932339180638,1.5527407938639883,1,0
pg7_8,7,1.3169966304377725,1.266123775561495,12.589678312014172,1.6645504524492152,1,0
pg3_1,5,0.9714560646670386,0.5,12.5,1.689126435297734,1,0
pg6_12,4,0.6880830915144364,0.5,12.349089035228468,1.4032996802198983,1,0
pg2_1,0,0.6925351902759932,0.5,12.165525060596439,1.3880363864933059,1,0
pg5_6,7,1.0147338184582646,1.0,12.041594578792296,1.3497695276146626,1,0
pg7_8,6,1.1331783713569017,0.8535533905932737,12.010412149464313,1.5569971457977223,1,0
pg1_7,6,0.7857884197743368,0.0,11.704699910719626,1.6329086704452327,1,0
pg1_10,6,1.0495111792467835,0.5,11.672617529928752,1.7365810619248458,1,0
pg3_9,4,1.729618679535383,1.9013878188659974,11.597413504743201,1.768674896658214,1,0
pg5_3,6,0.42880524925008284,0.0,11.543396380615196,1.263873434413262,1,0
pg7_8,3,1.3137699258205793,1.118033988749895,11.543396380615196,1.4739220067593093,1,0
pg1_6,9,1.3713978769236432,1.118033988749895,10.700467279516348,1.5290578351289803,1,0
pg6_3,7,1.4861576574037212,1.540569415042095,10.51189802081432,1.5603091309118688,1,0
pg3_3,6,0.9026707158113755,0.5,10.5,1.3483315908249645,1,0
pg6_9,7,1.6268208775697925,1.5,10.307764064044152,1.5718273862937526,1,0
pg1_2,3,0.641441243125903,0.5,10.124228365658293,1.1180391160198417,1,0
pg2_1,8,0.7292628320367415,0.5,10.124228365658293,1.3870489856080852,1,0
pg3_1,2,1.0896622966100613,0.5,10.04987562112089,1.4948281103011432,1,0
pg3_9,7,0.535643881283584,0.25,10.012492197250394,1.169072908666004,1,0
