feature_count,mean_cv_f1,std_cv_f1,min_cv_f1,max_cv_f1
10,0.9298666141687928,0.02655146305978104,0.8911917098445595,0.9615384615384616
15,0.9339795447280563,0.023644327497746528,0.8969072164948454,0.9615384615384616
20,0.9369038202486623,0.02300290068525848,0.8969072164948454,0.9615384615384616
25,0.9340578761306663,0.021976753157724824,0.8969072164948454,0.9569377990430622
30,0.9462075905122156,0.017736836510443627,0.9137055837563451,0.9622641509433962
