group,object_index,transition_frame,spatial_jump,previous_class,current_class
pg1_8,0,88,153.3101431738944,pg_im,pg_el
pg1_8,0,94,308.8952087682812,pg_el,pg_im
pg1_8,0,96,222.62299971027252,pg_im,pg_el
pg1_8,1,12,327.15630820756,pg_im,pg_el
pg1_8,1,13,99.91121058219643,pg_el,pg_im
pg1_8,1,21,164.26959548254814,pg_im,pg_el
pg1_8,1,22,223.1014343297685,pg_el,pg_im
pg1_8,1,31,155.283611498445,pg_im,pg_el
pg1_8,1,32,214.64913230665528,pg_el,pg_im
pg1_8,1,33,214.64913230665528,pg_im,pg_el
pg1_8,1,35,240.52078912227108,pg_el,pg_im
pg1_8,1,37,196.04400016322867,pg_im,pg_el
pg1_8,1,39,293.23795797952215,pg_el,pg_im
pg1_8,1,41,305.1597942062486,pg_im,pg_el
pg1_8,1,43,264.4168111145734,pg_el,pg_im
pg1_8,1,45,196.11030059637358,pg_im,pg_el
pg1_8,1,46,327.1704448754502,pg_el,pg_im
pg1_8,1,47,247.52474623762367,pg_im,pg_el
pg1_8,1,49,265.84958153060916,pg_el,pg_im
pg1_8,1,50,134.28049001995785,pg_im,pg_el
pg1_8,1,57,249.56061387967452,pg_el,pg_im
pg1_8,1,58,326.7265676372217,pg_im,pg_el
pg1_8,1,62,138.74076545846214,pg_el,pg_im
pg1_8,1,65,201.23183147802436,pg_im,pg_el
pg1_8,1,68,281.8674333795942,pg_el,pg_im
pg1_8,1,70,260.51199588502635,pg_im,pg_el
pg1_8,1,71,206.34982432752398,pg_el,pg_im
pg1_8,1,72,143.96961484980085,pg_im,pg_el
pg1_8,1,74,98.34886882928548,pg_el,pg_im
pg1_8,1,76,106.09547586961472,pg_im,pg_el
pg1_8,1,81,242.5,pg_el,pg_im
pg1_8,1,82,221.45202640752692,pg_im,pg_el
pg1_8,1,91,182.26148797812445,pg_el,pg_im
pg1_8,1,92,182.26148797812445,pg_im,pg_el
pg1_8,1,93,215.8083640640464,pg_el,pg_im
pg1_8,1,94,65.51717332119877,pg_im,pg_el
pg1_8,1,95,142.21462653327893,pg_el,pg_im
pg1_8,1,97,112.00892821556681,pg_im,pg_el
pg1_8,2,33,217.5827428818747,pg_im,pg_el
pg1_8,2,36,327.15630820756,pg_el,pg_im
pg1_8,2,38,240.93619487324855,pg_im,pg_el
pg1_8,2,39,144.16050083153846,pg_el,pg_im
pg1_8,2,40,305.65053574302794,pg_im,pg_el
pg1_8,2,44,226.5226258014859,pg_el,pg_im
pg1_8,2,45,114.12712210513327,pg_im,pg_el
pg1_8,2,49,202.69990133199374,pg_el,pg_im
pg1_8,2,50,234.48294181027327,pg_im,pg_el
pg1_8,2,53,211.03791128610044,pg_el,pg_im
pg1_8,2,54,300.3635297435426,pg_im,pg_el
pg1_8,2,61,154.12008305214476,pg_el,pg_im
pg1_8,2,66,243.59905582739847,pg_im,pg_el
pg1_8,2,69,161.64467204334326,pg_el,pg_im
pg1_8,2,70,160.9425363289643,pg_im,pg_el
pg1_8,2,71,154.53802121160993,pg_el,pg_im
pg1_8,2,72,221.56827390219928,pg_im,pg_el
pg1_8,2,73,182.26148797812445,pg_el,pg_im
pg1_8,2,75,210.22963635034904,pg_im,pg_el
pg1_8,2,76,106.09547586961472,pg_el,pg_im
pg1_8,2,77,106.09547586961472,pg_im,pg_el
pg1_8,2,78,326.26714514336254,pg_el,pg_im
pg1_8,2,79,112.57219905465115,pg_im,pg_el
pg1_8,2,80,217.75330077865638,pg_el,pg_im
pg1_8,2,82,165.16204164395643,pg_im,pg_el
pg1_8,2,83,213.54741862171971,pg_el,pg_im
pg1_8,2,84,242.00929734206494,pg_im,pg_el
pg1_8,2,90,105.27226605331529,pg_el,pg_im
pg1_8,2,92,251.75384803414624,pg_im,pg_el
pg1_8,2,93,308.7430161153447,pg_el,pg_im
pg1_8,2,94,304.6690827767071,pg_im,pg_el
pg1_8,2,95,214.38866574518346,pg_el,pg_im
pg1_8,2,97,153.4095824907949,pg_im,pg_el
pg1_8,3,15,156.52236261953115,pg_im,pg_el
pg1_8,3,16,196.45991957648766,pg_el,pg_im
pg1_8,3,19,310.74949718382493,pg_im,pg_el
pg1_8,3,20,156.52236261953115,pg_el,pg_im
pg1_8,3,23,156.52236261953115,pg_im,pg_el
pg1_8,3,24,309.67240755353066,pg_el,pg_im
pg1_8,3,27,161.20794025109308,pg_im,pg_el
pg1_8,3,29,195.69427687083748,pg_el,pg_im
pg1_8,3,31,196.16319736382766,pg_im,pg_el
pg1_8,3,32,196.337082590121,pg_el,pg_im
pg1_8,3,33,130.12493996156155,pg_im,pg_el
pg1_8,3,34,165.16204164395643,pg_el,pg_im
pg1_8,3,35,114.48689881379441,pg_im,pg_el
pg1_8,3,36,240.52078912227108,pg_el,pg_im
pg1_8,3,37,216.9435410423643,pg_im,pg_el
pg1_8,3,39,113.89688318825937,pg_el,pg_im
pg1_8,3,41,154.37778337571763,pg_im,pg_el
pg1_8,3,51,248.03225596683993,pg_el,pg_im
pg1_8,3,52,226.29184695874486,pg_im,pg_el
pg1_8,3,53,154.40207252495026,pg_el,pg_im
pg1_8,3,54,215.12438262549412,pg_im,pg_el
pg1_8,3,57,127.3184982632139,pg_el,pg_im
pg1_8,3,58,230.9485873522503,pg_im,pg_el
pg1_8,3,69,112.14722466472365,pg_el,pg_im
pg1_8,3,70,251.3901350490906,pg_im,pg_el
pg1_8,3,73,293.0379668234135,pg_el,pg_im
pg1_8,3,75,214.6071993200601,pg_im,pg_el
pg1_8,3,76,152.80052355931247,pg_el,pg_im
pg1_8,3,77,314.3918733046387,pg_im,pg_el
pg1_8,3,80,248.68152323805643,pg_el,pg_im
pg1_8,3,81,117.64777940955791,pg_im,pg_el
pg1_8,3,82,216.18741869035765,pg_el,pg_im
pg1_8,3,83,304.7170818972904,pg_im,pg_el
pg1_8,3,84,119.55333537798099,pg_el,pg_im
pg1_8,3,85,117.8526622524922,pg_im,pg_el
pg1_8,3,87,159.20113064925135,pg_el,pg_im
pg1_8,3,88,303.9230988260024,pg_im,pg_el
pg1_8,3,89,222.03603311174518,pg_el,pg_im
pg1_8,3,90,105.68348972285122,pg_im,pg_el
pg1_8,4,28,137.49363621637184,pg_im,pg_el
pg1_8,4,29,113.92651140099042,pg_el,pg_im
pg1_8,4,31,113.92651140099042,pg_im,pg_el
pg1_8,4,33,182.26148797812445,pg_el,pg_im
pg1_8,4,34,182.26148797812445,pg_im,pg_el
pg1_8,4,37,145.11374848717816,pg_el,pg_im
pg1_8,4,38,213.63169240541066,pg_im,pg_el
pg1_8,4,40,326.94074386653006,pg_el,pg_im
pg1_8,4,41,247.52474623762367,pg_im,pg_el
pg1_8,4,42,247.52474623762367,pg_el,pg_im
pg1_8,4,43,327.1704448754502,pg_im,pg_el
pg1_8,4,45,247.52474623762367,pg_el,pg_im
pg1_8,4,46,247.53232112190926,pg_im,pg_el
pg1_8,4,48,297.0206221796729,pg_el,pg_im
pg1_8,4,49,267.87403756243344,pg_im,pg_el
pg1_8,4,51,154.01298646542764,pg_el,pg_im
pg1_8,4,52,267.81383459410756,pg_im,pg_el
pg1_8,4,54,326.95718374123544,pg_el,pg_im
pg1_8,4,60,109.9840897584737,pg_im,pg_el
pg1_8,4,62,254.9215565620138,pg_el,pg_im
pg1_8,4,64,220.82402496105354,pg_im,pg_el
pg1_8,4,67,165.16204164395643,pg_el,pg_im
pg1_8,4,68,326.49655434629017,pg_im,pg_el
pg1_8,4,73,161.90892501650427,pg_el,pg_im
pg1_8,4,74,253.00296440951044,pg_im,pg_el
pg1_8,4,76,256.1688896021529,pg_el,pg_im
pg1_8,4,77,165.16204164395643,pg_im,pg_el
