group,object_index,frame_count,mean_step_distance,median_step_distance,max_step_distance,p95_step_distance,large_jump_count,very_large_jump_count
pg1_1,0,97,1.2173229104909522,0.7071067811865476,3.5355339059327378,3.2102337366887057,0,0
pg1_1,1,97,0.12089115911941656,0.0,3.605551275463989,0.625,0,0
pg1_1,2,97,0.07112944921610614,0.0,2.8284271247461903,0.5,0,0
pg1_1,3,97,0.04856539229342063,0.0,3.1622776601683795,0.0,0,0
pg1_1,4,97,0.02904422511740351,0.0,1.5811388300841898,0.0,0,0
pg1_1,5,97,0.04382402897069321,0.0,1.5,0.5,0,0
pg1_1,6,97,0.046283070402982684,0.0,2.23606797749979,0.125,0,0
pg1_1,7,97,0.10407425764015565,0.0,4.242640687119285,0.5,0,0
pg1_1,8,97,0.1875985563895859,0.0,4.6097722286464435,0.5,0,0
pg1_1,9,97,0.9828939695804128,1.0,4.242640687119285,2.7483057895311016,0,0
pg1_10,0,97,0.12169659537883826,0.0,2.1213203435596424,0.5,0,0
pg1_10,1,97,0.015625,0.0,0.5,0.0,0,0
pg1_10,2,97,0.07232473706964936,0.0,2.23606797749979,0.5,0,0
pg1_10,3,97,0.609044876483964,0.5,3.1622776601683795,2.23606797749979,0,0
pg1_10,4,97,0.9256328316522625,0.8535533905932737,2.692582403567252,2.23606797749979,0,0
pg1_10,5,97,0.49389773771536477,0.25,1.8027756377319946,1.5202847075210475,0,0
pg1_10,6,97,1.0495111792467835,0.5,11.672617529928752,4.335924546761251,1,0
pg1_10,7,97,0.028199028970693204,0.0,1.0,0.0,0,0
pg1_10,8,97,1.4471862609157222,1.4142135623730951,5.830951894845301,3.1622776601683795,0,0
pg1_10,9,97,0.7046255354505861,0.25,2.23606797749979,2.0615528128088303,0,0
pg1_11,0,97,0.015625,0.0,1.5,0.0,0,0
pg1_11,1,97,0.19371606930592677,0.0,1.118033988749895,0.7071067811865476,0,0
pg1_11,2,97,0.08600642227065562,0.0,2.5495097567963922,0.5,0,0
pg1_11,3,97,0.2859462981210276,0.0,2.23606797749979,1.0295084971874737,0,0
pg1_11,4,97,0.4076826533871545,0.0,3.605551275463989,1.118033988749895,0,0
pg1_11,5,97,0.31805036203079273,0.0,1.8027756377319946,1.2135254915624212,0,0
pg1_11,6,97,0.4563205502110595,0.5,2.9154759474226504,1.192078882155695,0,0
pg1_11,7,97,0.9013793268720983,0.5,7.5,3.0103453162872773,0,0
pg1_11,8,97,0.3274142275231662,0.0,1.8027756377319946,1.192078882155695,0,0
pg1_11,9,97,0.47542418982674284,0.5,1.5811388300841898,1.118033988749895,0,0
pg1_12,0,97,0.10732057955970827,0.0,2.5,0.5,0,0
pg1_12,1,97,0.8041226866890065,0.5,5.656854249492381,3.2102337366887057,0,0
pg1_12,2,97,0.8414186744570299,0.5,4.716990566028302,2.5495097567963922,0,0
pg1_12,3,97,0.5013251172939167,0.25,5.220153254455275,2.0615528128088303,0,0
pg1_12,4,97,1.3035599630047874,1.118033988749895,6.519202405202649,3.605551275463989,0,0
pg1_12,5,97,0.5329630651786114,0.5,4.0,2.23606797749979,0,0
pg1_12,6,97,1.1798874427084545,0.6035533905932737,4.924428900898052,3.5355339059327378,0,0
pg1_12,7,97,0.4804381811388922,0.0,2.5495097567963922,1.8027756377319946,0,0
pg1_12,8,97,0.12791991300956537,0.0,3.1622776601683795,0.5,0,0
pg1_12,9,97,1.1176025970489636,0.7071067811865476,8.246211251235321,3.3905764746872635,0,0
pg1_2,0,97,0.5177708573276903,0.0,3.8078865529319543,2.5,0,0
pg1_2,1,97,0.09501375357874627,0.0,2.0,0.5,0,0
pg1_2,2,97,0.48482503923817766,0.5,3.0,1.5,0,0
pg1_2,3,97,0.641441243125903,0.5,10.124228365658293,1.5,1,0
pg1_2,4,97,0.37076551382077844,0.0,3.1622776601683795,1.2135254915624212,0,0
pg1_2,5,97,0.9820917425017667,1.118033988749895,6.324555320336759,2.1500072520446794,0,0
pg1_2,6,97,0.8665459241902519,0.5,2.5,2.23606797749979,0,0
pg1_2,7,97,0.500379952981051,0.5,2.5495097567963922,1.5,0,0
pg1_2,8,97,0.09375,0.0,1.0,0.5,0,0
pg1_2,9,97,0.9893698888089796,1.118033988749895,5.1478150704935,2.5,0,0
pg1_3,0,97,0.0,0.0,0.0,0.0,0,0
pg1_3,1,97,0.015625,0.0,1.5,0.0,0,0
pg1_3,2,97,0.04813875357874627,0.0,2.1213203435596424,0.5,0,0
pg1_3,3,97,0.14573650817619344,0.0,3.1622776601683795,0.5,0,0
pg1_3,4,97,0.9682532946249395,0.5,3.2015621187164243,3.0413812651491097,0,0
pg1_3,5,97,0.36259734479946176,0.0,8.246211251235321,1.0,0,0
pg1_3,6,97,1.2505494832755062,1.0,6.020797289396148,2.9154759474226504,0,0
pg1_3,7,97,1.063673350566731,0.5,8.5,2.88166565984692,0,0
pg1_3,8,97,1.116644172676749,0.7071067811865476,4.924428900898052,2.9154759474226504,0,0
pg1_3,9,97,1.0177100070265621,1.0,5.70087712549569,2.5123774391990983,0,0
pg1_4,0,97,0.8982689960433682,0.5,7.106335201775948,3.0716053639039274,0,0
pg1_4,1,97,0.08104491300956536,0.0,3.1622776601683795,0.5,0,0
pg1_4,2,97,1.0637543366102054,0.5,8.0,4.098637313992285,0,0
pg1_4,3,97,1.0433418780390127,1.0,3.8078865529319543,3.0,0,0
pg1_4,4,97,1.0561116861170987,1.0,3.3541019662496847,2.9469522768542653,0,0
pg1_4,5,97,0.036458333333333336,0.0,1.0,0.5,0,0
pg1_4,6,97,0.06770833333333333,0.0,0.5,0.5,0,0
pg1_4,7,97,0.05639805794138641,0.0,1.4142135623730951,0.5,0,0
pg1_4,8,97,1.0815757318172607,1.0590169943749475,9.12414379544733,2.619239098783842,0,0
pg1_4,9,97,0.2160913113081404,0.0,3.2015621187164243,1.118033988749895,0,0
pg1_5,0,97,0.050028912893041615,0.0,1.8027756377319946,0.125,0,0
pg1_5,1,97,0.010416666666666666,0.0,0.5,0.0,0,0
pg1_5,2,97,0.036458333333333336,0.0,3.5,0.0,0,0
pg1_5,3,97,0.03168105484530322,0.0,3.0413812651491097,0.0,0,0
pg1_5,4,97,0.02206285404947807,0.0,1.118033988749895,0.0,0,0
pg1_5,5,97,1.4958160917839376,1.266123775561495,4.527692569068709,3.3541019662496847,0,0
pg1_5,6,97,1.0524377657036255,0.5,3.5,2.5495097567963922,0,0
pg1_5,7,97,1.1230991139437967,0.7071067811865476,6.800735254367722,2.986997490246094,0,0
pg1_5,8,97,0.9958957230205258,1.118033988749895,4.031128874149275,2.5,0,0
pg1_5,9,97,0.7332977715429853,0.5,4.6097722286464435,2.1500072520446794,0,0
pg1_6,0,97,1.1454495152321924,1.0,8.48528137423857,2.9154759474226504,0,0
pg1_6,1,97,0.03370904143228948,0.0,2.23606797749979,0.0,0,0
pg1_6,2,97,0.005208333333333333,0.0,0.5,0.0,0,0
pg1_6,3,97,0.0,0.0,0.0,0.0,0,0
pg1_6,4,97,0.13964874583354825,0.0,1.5811388300841898,0.5,0,0
pg1_6,5,97,0.9174475099433436,0.7071067811865476,2.692582403567252,2.5,0,0
pg1_6,6,97,1.2818800552675986,1.4142135623730951,4.47213595499958,3.6516504294495533,0,0
pg1_6,7,97,0.7149411978920255,0.5,14.705441169852742,1.8674699315012036,1,0
pg1_6,8,97,0.8043634268918826,0.5,3.2015621187164243,2.5,0,0
pg1_6,9,97,1.3713978769236432,1.118033988749895,10.700467279516348,3.2015621187164243,1,0
pg1_7,0,97,1.1442495165034396,1.118033988749895,3.5355339059327378,3.040569415042095,0,0
pg1_7,1,97,0.1651811283443691,0.0,2.5,0.5517766952966369,0,0
pg1_7,2,97,0.046875,0.0,2.0,0.125,0,0
pg1_7,3,97,0.7870910210076468,0.5,2.5495097567963922,2.1213203435596424,0,0
pg1_7,4,97,0.6991083549603939,0.5,4.123105625617661,1.5811388300841898,0,0
pg1_7,5,97,1.184648030666189,0.8535533905932737,4.6097722286464435,3.2102337366887057,0,0
pg1_7,6,97,0.7857884197743368,0.0,11.704699910719626,3.0251324521294087,1,0
pg1_7,7,97,0.9051807807501792,0.5,2.9154759474226504,2.692582403567252,0,0
pg1_7,8,97,0.9258658321614419,0.5,4.031128874149275,2.23606797749979,0,0
pg1_7,9,97,0.9038567811721725,1.118033988749895,4.47213595499958,1.8027756377319946,0,0
pg1_8,0,97,161.02653637263276,162.19395503362222,345.44174617437307,295.285783975951,85,85
pg1_8,1,97,169.48417600631956,160.53228144144794,366.5276251525934,327.15984237453256,85,85
pg1_8,2,97,180.48880942921178,173.6757035396719,365.53317222927933,337.1003414532284,89,89
pg1_8,3,97,168.9565730258747,161.45298063278776,366.9727510320078,304.485602515289,92,92
pg1_8,4,97,186.5189723036524,172.19979215331992,354.8309456628607,326.9448538352064,92,92
pg1_8,5,97,166.65634551526293,155.31919422730454,355.4490118146343,334.3143636190839,87,87
pg1_8,6,97,149.09177618078743,152.61252974873975,361.4505498681666,305.09683638992004,81,81
pg1_8,7,97,170.53841874566254,169.37217399700748,354.8309456628607,326.54008950004936,85,85
pg1_8,8,97,187.591566507268,165.1098119434457,355.3990714675546,327.00696485781657,90,90
