group,frame,object_count,mean_identity_distance,median_identity_distance,max_identity_distance,mean_nearest_distance,median_nearest_distance,max_nearest_distance,identity_is_nearest_count,identity_is_nearest_fraction
pg1_8,3,10,194.0027891142897,208.37267983319003,310.3550386251204,0.2825140769936442,0.0,1.118033988749895,0,0.0
pg1_8,4,10,208.4953134679828,216.31456882858743,256.9985408518889,1.022446323827975,0.25,7.810249675906654,0,0.0
pg1_8,5,10,197.266767802247,195.39947021760966,327.82960513047016,0.29142135623730947,0.25,0.7071067811865476,0,0.0
pg1_8,7,10,179.33846168667074,176.92211063607533,294.96652352428066,0.07071067811865475,0.0,0.7071067811865476,0,0.0
pg1_8,9,10,203.63829169760191,200.7734146990636,354.8309456628607,0.1,0.0,0.5,0,0.0
pg1_8,16,10,203.23852795813033,183.2483401539036,365.53317222927933,0.05,0.0,0.5,0,0.0
pg1_8,11,10,194.51856641893735,183.1067086656602,354.8309456628607,0.05,0.0,0.5,0,0.0
pg1_8,10,10,175.70126303960956,130.22555992666977,354.8309456628607,0.05,0.0,0.5,0,0.0
pg1_8,17,10,188.44921976268552,169.28063495914853,294.96652352428066,0.15811388300841897,0.0,1.5811388300841898,0,0.0
pg1_8,22,10,209.886416473701,193.99350035419684,366.5276251525934,0.0,0.0,0.0,0,0.0
pg1_8,19,10,188.22783152597793,190.65121355012764,310.74949718382493,0.12071067811865474,0.0,0.7071067811865476,0,0.0
pg1_8,29,10,203.47425664309395,199.38438529586892,366.5276251525934,0.1,0.0,1.0,0,0.0
pg1_8,26,10,208.870124039434,216.67689054921684,327.15630820756,0.12071067811865474,0.0,0.7071067811865476,0,0.0
pg1_8,18,10,189.75078302355044,147.6443653551919,366.9727510320078,0.0,0.0,0.0,0,0.0
pg1_8,35,10,176.82062641888564,167.01410853198922,354.9788726107513,0.1,0.0,0.5,0,0.0
pg1_8,34,10,200.25504558157473,173.71176481104044,307.02809317715537,0.1,0.0,0.5,0,0.0
pg1_8,45,10,184.2829175177226,164.9133024808171,360.01111093964863,0.3383914467816184,0.0,1.8027756377319946,0,0.0
pg1_8,54,10,182.6212481198782,159.61503633336326,326.95718374123544,0.358113883008419,0.0,1.5811388300841898,0,0.0
pg1_8,51,10,188.66950710637147,158.85467586372891,352.7187264662879,0.5389979937555021,0.0,2.1213203435596424,0,0.0
pg1_8,58,10,220.8263511188593,228.62021715549758,326.7265676372217,0.3268659593995378,0.0,2.0615528128088303,0,0.0
pg1_8,60,10,161.09220668440875,153.45895546619175,354.36210293991655,0.39431747586863375,0.0,2.23606797749979,0,0.0
pg1_8,65,10,165.02354482460905,118.83556338552779,355.68314551015766,0.43866935827452724,0.0,2.0615528128088303,0,0.0
pg1_8,56,10,211.73947782367463,227.907795665584,326.95718374123544,0.2943174758686337,0.0,2.23606797749979,0,0.0
pg1_8,49,10,197.03652232691343,221.55760621758566,267.87403756243344,0.5239354332309538,0.5,1.4142135623730951,0,0.0
pg1_8,38,10,205.54300628941382,215.74529584787706,274.93453766305896,0.05,0.0,0.5,0,0.0
pg1_8,47,10,184.05412684155743,166.24289998113568,327.1704448754502,0.608113883008419,0.5,2.0,0,0.0
pg1_8,39,10,171.17541600167286,145.8306741433655,293.23795797952215,0.12071067811865474,0.0,0.7071067811865476,0,0.0
pg1_8,40,10,175.00682032159511,143.70736942439788,326.94074386653006,0.22071067811865475,0.0,0.7071067811865476,0,0.0
pg1_8,36,10,204.63337184797678,194.08476765384495,327.15630820756,0.15,0.0,0.5,0,0.0
pg1_8,76,10,147.05337218196397,115.85946056681291,300.5698754033744,0.6972894052485528,0.0,3.1622776601683795,0,0.0
pg1_8,81,10,175.65937888686997,163.2807695779256,253.9488137400921,0.5224829954690242,0.0,2.692582403567252,0,0.0
pg1_8,72,10,177.51260210227866,157.02156418337518,290.5477585527033,0.5953057177604879,0.0,2.23606797749979,0,0.0
pg1_9,2,10,171.26168003088492,168.59959829212443,244.76110802167898,1.5748488046335658,1.1035533905932737,5.0,0,0.0
pg1_9,6,10,168.43945311617816,147.7771322521868,278.4353605417243,0.15,0.0,0.5,0,0.0
pg1_9,8,10,184.61712151463854,193.6918881251923,243.98821692860497,0.05,0.0,0.5,0,0.0
pg1_9,16,10,211.02851819222286,204.02518732469852,320.5471884138122,0.0,0.0,0.0,0,0.0
pg1_9,14,10,220.38485882086417,229.0755268715494,350.60305189772663,0.15,0.0,1.0,0,0.0
