group,frame,object_count,mean_identity_distance,median_identity_distance,max_identity_distance,mean_nearest_distance,median_nearest_distance,max_nearest_distance,identity_is_nearest_count,identity_is_nearest_fraction
pg1_1,61,10,0.1414213562373095,0.0,0.7071067811865476,0.1414213562373095,0.0,0.7071067811865476,10,1.0
pg1_1,62,10,0.15,0.0,1.0,0.15,0.0,1.0,10,1.0
pg1_1,63,10,0.32360679774997897,0.0,2.23606797749979,0.32360679774997897,0.0,2.23606797749979,10,1.0
pg1_1,64,10,0.3302775637731995,0.0,1.8027756377319946,0.3302775637731995,0.0,1.8027756377319946,10,1.0
pg1_1,65,10,0.273606797749979,0.0,2.23606797749979,0.273606797749979,0.0,2.23606797749979,10,1.0
pg1_1,66,10,0.35,0.0,2.5,0.35,0.0,2.5,10,1.0
pg1_1,67,10,0.35413812651491094,0.0,3.0413812651491097,0.35413812651491094,0.0,3.0413812651491097,10,1.0
pg1_1,68,10,0.4130648586880582,0.0,2.5495097567963922,0.4130648586880582,0.0,2.5495097567963922,10,1.0
pg1_1,69,10,0.3302775637731995,0.0,1.8027756377319946,0.3302775637731995,0.0,1.8027756377319946,10,1.0
pg1_1,70,10,0.408113883008419,0.0,2.5,0.408113883008419,0.0,2.5,10,1.0
pg1_1,71,10,0.4622520095233299,0.0,3.0413812651491097,0.4622520095233299,0.0,3.0413812651491097,10,1.0
pg1_1,72,10,0.4622520095233299,0.0,3.0413812651491097,0.4622520095233299,0.0,3.0413812651491097,10,1.0
pg1_1,73,10,0.3,0.0,1.0,0.3,0.0,1.0,10,1.0
pg1_1,74,10,0.26991728188340847,0.0,1.5811388300841898,0.26991728188340847,0.0,1.5811388300841898,10,1.0
pg1_1,75,10,0.26991728188340847,0.0,1.5811388300841898,0.26991728188340847,0.0,1.5811388300841898,10,1.0
pg1_1,76,10,0.6233963668716361,0.0,3.0413812651491097,0.6233963668716361,0.0,3.0413812651491097,10,1.0
pg1_1,77,10,0.6546684369816937,0.0,3.3541019662496847,0.6546684369816937,0.0,3.3541019662496847,10,1.0
pg1_1,78,10,0.497702876023148,0.0,2.9154759474226504,0.497702876023148,0.0,2.9154759474226504,10,1.0
pg1_1,79,10,0.42976207903086205,0.0,2.23606797749979,0.42976207903086205,0.0,2.23606797749979,10,1.0
pg1_1,80,10,0.4049509756796392,0.0,2.5495097567963922,0.4049509756796392,0.0,2.5495097567963922,10,1.0
pg1_1,81,10,0.31795868015587253,0.0,2.0615528128088303,0.31795868015587253,0.0,2.0615528128088303,10,1.0
pg1_1,82,10,0.30615528128088304,0.0,2.0615528128088303,0.30615528128088304,0.0,2.0615528128088303,10,1.0
pg1_1,83,10,0.4768659593995378,0.0,2.0615528128088303,0.4768659593995378,0.0,2.0615528128088303,10,1.0
pg1_1,84,10,0.3,0.0,2.0,0.3,0.0,2.0,10,1.0
pg1_1,85,10,0.46213203435596417,0.0,2.5,0.46213203435596417,0.0,2.5,10,1.0
pg1_1,86,10,0.4302775637731995,0.0,2.5,0.4302775637731995,0.0,2.5,10,1.0
pg1_1,87,10,0.48573883210594315,0.0,2.23606797749979,0.48573883210594315,0.0,2.23606797749979,10,1.0
pg1_1,88,10,0.46213203435596417,0.0,2.5,0.46213203435596417,0.0,2.5,10,1.0
pg1_1,89,10,0.48027756377319947,0.0,2.5,0.48027756377319947,0.0,2.5,10,1.0
pg1_1,90,10,0.4682873156368473,0.0,2.1213203435596424,0.4682873156368473,0.0,2.1213203435596424,10,1.0
pg1_1,91,10,0.5116672736016927,0.0,3.5355339059327378,0.5116672736016927,0.0,3.5355339059327378,10,1.0
pg1_1,92,10,0.8972318519312867,0.0,3.1622776601683795,0.8972318519312867,0.0,3.1622776601683795,10,1.0
pg1_1,93,10,0.4773721233651441,0.0,2.692582403567252,0.4773721233651441,0.0,2.692582403567252,10,1.0
pg1_1,94,10,0.441547594742265,0.0,2.9154759474226504,0.441547594742265,0.0,2.9154759474226504,10,1.0
pg1_1,95,10,0.5692582403567252,0.0,2.692582403567252,0.5692582403567252,0.0,2.692582403567252,10,1.0
pg1_1,96,10,0.5242092160363644,0.0,2.692582403567252,0.5242092160363644,0.0,2.692582403567252,10,1.0
pg1_1,97,10,0.566227766016838,0.0,3.1622776601683795,0.566227766016838,0.0,3.1622776601683795,10,1.0
pg1_10,2,10,0.7975766375181925,0.75,2.0615528128088303,0.7975766375181925,0.75,2.0615528128088303,10,1.0
pg1_10,3,10,0.05,0.0,0.5,0.05,0.0,0.5,10,1.0
pg1_10,4,10,0.12071067811865474,0.0,0.7071067811865476,0.12071067811865474,0.0,0.7071067811865476,10,1.0
pg1_10,5,10,0.1,0.0,0.5,0.1,0.0,0.5,10,1.0
pg1_10,6,10,0.15,0.0,0.5,0.15,0.0,0.5,10,1.0
pg1_10,7,10,0.05,0.0,0.5,0.05,0.0,0.5,10,1.0
pg1_10,8,10,0.1,0.0,0.5,0.1,0.0,0.5,10,1.0
pg1_10,9,10,0.20615528128088303,0.0,2.0615528128088303,0.20615528128088303,0.0,2.0615528128088303,10,1.0
pg1_10,10,10,0.05,0.0,0.5,0.05,0.0,0.5,10,1.0
pg1_10,11,10,0.15,0.0,0.5,0.15,0.0,0.5,10,1.0
pg1_10,12,10,0.17071067811865476,0.0,0.7071067811865476,0.17071067811865476,0.0,0.7071067811865476,10,1.0
pg1_10,13,10,0.05,0.0,0.5,0.05,0.0,0.5,10,1.0
pg1_10,14,10,0.0,0.0,0.0,0.0,0.0,0.0,10,1.0
pg1_10,15,10,0.25615528128088305,0.0,2.0615528128088303,0.25615528128088305,0.0,2.0615528128088303,10,1.0
pg1_10,16,10,0.12071067811865474,0.0,0.7071067811865476,0.12071067811865474,0.0,0.7071067811865476,10,1.0
pg1_10,17,10,0.05,0.0,0.5,0.05,0.0,0.5,10,1.0
pg1_10,18,10,0.1,0.0,0.5,0.1,0.0,0.5,10,1.0
pg1_10,19,10,0.2,0.0,1.0,0.2,0.0,1.0,10,1.0
pg1_10,20,10,0.05,0.0,0.5,0.05,0.0,0.5,10,1.0
pg1_10,21,10,0.25,0.0,1.5,0.25,0.0,1.5,10,1.0
pg1_10,22,10,0.1,0.0,0.5,0.1,0.0,0.5,10,1.0
pg1_10,23,10,0.12071067811865474,0.0,0.7071067811865476,0.12071067811865474,0.0,0.7071067811865476,10,1.0
pg1_10,24,10,0.05,0.0,0.5,0.05,0.0,0.5,10,1.0
