group,track_id,total_frames,mean_movement,median_movement,max_movement,movement_std,jumps_gt_005,jumps_gt_010,jumps_gt_020,mean_center_x,mean_center_y,std_center_x,std_center_y,min_center_x,max_center_x,min_center_y,max_center_y,mean_width,mean_height,std_width,std_height,min_width,max_width,min_height,max_height,width_change,height_change,width_growth_ratio,height_growth_ratio,mean_area,max_area,area_change,area_growth_ratio,mean_iou,min_iou,mean_match_cost,max_match_cost,class_transition_count,zm_el_count_75pct,zm_el_fraction_75pct,observed_zm_el_75pct,early_width,middle_width,late_width,early_height,middle_height,late_height,width_growth_early_late,height_growth_early_late,germination_target,final_label
zm1_1,1,72,7.599300129925557e-05,0.0,0.0011331839442092,0.0002560552239673018,0,0,0,0.5889089209401709,0.2576455662393162,0.00016011723835846349,0.001051020047989943,0.5881410256410257,0.5889423076923077,0.25721153846153844,0.26121794871794873,0.10352118945868945,0.1203926282051282,0.0017239407871021415,0.0005299982594280001,0.09615384615384616,0.10416666666666667,0.1201923076923077,0.12179487179487179,0.008012820512820512,-0.0016025641025640969,1.0833333333333333,0.986842105263158,0.012462639653645262,0.012686965811965812,0.0008089866863905323,1.069078947368421,0.9980010811134363,0.9564777327935222,0.0007490170611418458,0.0157536268556005,0,0,0.0,0,0.10223023504273505,0.10416666666666667,0.10416666666666667,0.12079326923076923,0.1201923076923077,0.1201923076923077,0.001936431623931617,-0.0006009615384615363,0,NON-GERMINATED
zm1_1,2,72,3.338675213675e-05,0.0,0.000801282051282,0.00016011723835845413,0,0,0,0.3366608796296297,0.266025641025641,0.0002882797775772024,1.1102230246251565e-16,0.33653846153846156,0.3373397435897436,0.266025641025641,0.266025641025641,0.1403356481481481,0.11538461538461539,0.0016642848507772553,1.942890293094024e-16,0.1330128205128205,0.14102564102564102,0.11538461538461539,0.11538461538461539,0.008012820512820512,0.0,1.0602409638554218,1.0,0.016192574786324784,0.016272189349112426,0.000924556213017751,1.0602409638554215,0.9991942332225187,0.976470588235294,0.0003037197610073222,0.008235294117647,0,0,0.0,0,0.1389556623931624,0.14102564102564102,0.14102564102564102,0.11538461538461538,0.11538461538461538,0.11538461538461538,0.002069978632478625,0.0,0,NON-GERMINATED
zm1_1,3,72,0.00010477000492312778,0.0,0.0011331839442092,0.00027963773623685404,0,0,0,0.7003984152421653,0.364638977920228,0.0006564174725364401,0.0010458222098896188,0.6995192307692307,0.7019230769230769,0.36378205128205127,0.3685897435897436,0.14986200142450143,0.1200810185185185,0.0010681441907676092,0.0020916444197792276,0.14743589743589744,0.15064102564102563,0.11217948717948718,0.12179487179487179,0.0016025641025640969,0.008012820512820512,1.0108695652173914,1.0714285714285714,0.017997421230093503,0.01834730440499671,0.0013739932610124898,1.0830745341614905,0.9982399448791417,0.9763437849944008,0.0006841197955004459,0.0090162448156956,1,11,0.1527777777777778,1,0.14923878205128205,0.15064102564102563,0.14970619658119658,0.11885683760683761,0.12119391025641024,0.1201923076923077,0.00046741452991452825,0.0013354700854700807,1,GERMINATED
zm1_1,4,72,7.790242165241666e-05,0.0,0.000801282051282,0.00023738792075877135,0,0,0,0.4393028846153845,0.4310229700854701,0.0004170004005340788,0.0007872480049780776,0.4391025641025641,0.4407051282051282,0.42948717948717946,0.43189102564102566,0.12428774928774929,0.15397970085470084,0.0016222282014145852,0.0015744960099561482,0.11858974358974358,0.125,0.15224358974358973,0.15705128205128205,0.006410256410256415,0.004807692307692318,1.0540540540540542,1.0315789473684212,0.019139027001607127,0.019631410256410256,0.0015768819855358322,1.0873399715504979,0.9988440447148954,0.9866666666666668,0.0004552209238607042,0.0051874999999999,1,13,0.18055555555555555,1,0.12286324786324787,0.125,0.125,0.15224358974358973,0.15384615384615385,0.15584935897435898,0.002136752136752129,0.0036057692307692457,1,GERMINATED
zm1_1,5,72,0.0001780626780626667,0.0,0.000801282051282,0.00033312476734096325,0,0,0,0.31399127492877493,0.4584891381766383,0.0017428040959627299,0.0003171253305015794,0.3108974358974359,0.3173076923076923,0.4583333333333333,0.45913461538461536,0.1441417378917379,0.11680911680911682,0.0040231921394925235,0.0027570980354704447,0.1346153846153846,0.15064102564102563,0.10897435897435898,0.11858974358974358,0.016025641025641024,0.009615384615384609,1.119047619047619,1.088235294117647,0.01684647002155015,0.01786448060486522,0.003194855358316895,1.2177871148459383,0.9972804008610426,0.9855072463768116,0.0010676004393757486,0.0055932971014492,1,5,0.06944444444444445,1,0.13982371794871795,0.1440304487179487,0.14857104700854698,0.11351495726495726,0.11832264957264955,0.11858974358974357,0.008747329059829029,0.005074786324786307,1,GERMINATED
zm1_1,6,72,0.0001185261033194486,0.0,0.0017917211358171,0.00033285911024768524,0,0,0,0.5242832977207978,0.5741185897435899,0.0005608797706710328,0.0008858506384496229,0.5240384615384616,0.5264423076923077,0.5737179487179487,0.5777243589743589,0.14912749287749286,0.12860576923076922,0.0025742222747152676,0.0006939306120067708,0.14262820512820512,0.15064102564102563,0.1282051282051282,0.12980769230769232,0.008012820512820512,-0.0016025641025641246,1.0561797752808988,0.9876543209876542,0.019177157811472712,0.019346338757396452,0.0007987138395792182,1.0431405187959493,0.9980906770237277,0.9649003930071826,0.0007453050088529861,0.0134494811857672,0,0,0.0,0,0.14610042735042736,0.15064102564102563,0.15064102564102563,0.1294070512820513,0.1282051282051282,0.1282051282051282,0.0045405982905982745,-0.0012019230769231004,0,NON-GERMINATED
zm1_1,7,72,0.00010477000492312778,0.0,0.0011331839442092,0.00027963773623685393,0,0,0,0.7839431980056979,0.5993255876068376,0.0003848739419914201,0.0006465316750479776,0.7836538461538461,0.7844551282051282,0.5985576923076923,0.6001602564102564,0.11502849002849007,0.1499065170940171,0.0020204426135880015,0.002265384008238157,0.10897435897435898,0.11698717948717949,0.14423076923076922,0.15224358974358973,0.008012820512820512,0.008012820512820512,1.0735294117647058,1.0555555555555556,0.017247788769723865,0.01781054815910585,0.0020930925378040734,1.1331699346405226,0.9982768456807158,0.9746774964166268,0.0006712045149495125,0.0095994458179166,0,0,0.0,0,0.11304754273504274,0.11538461538461538,0.11665331196581197,0.14730235042735043,0.1503071581196581,0.15211004273504272,0.003605769230769232,0.004807692307692291,1,GERMINATED
zm1_1,8,72,0.00010016025641025001,0.0,0.000801282051282,0.0002649991297139848,0,0,0,0.2953058226495726,0.601273148148148,0.0010339117633014151,0.0007735998574155415,0.2948717948717949,0.2988782051282051,0.6009615384615384,0.6041666666666666,0.1312099358974359,0.10576923076923075,0.0005299982594280008,0.0004626204080045062,0.12980769230769232,0.13141025641025642,0.10416666666666667,0.10737179487179487,0.0016025641025640969,0.0,1.0123456790123457,1.0,0.013878009658758858,0.014109755095332018,0.0001695019723865869,1.0123456790123455,0.9983176474121142,0.9848484848484848,0.0006539275724267236,0.0058238636363636,0,0,0.0,0,0.1308092948717949,0.13141025641025642,0.13141025641025642,0.10576923076923077,0.10576923076923077,0.10576923076923077,0.0006009615384615086,0.0,0,NON-GERMINATED
zm1_1,9,72,8.903133903133334e-05,0.0,0.000801282051282,0.0002518186542686973,0,0,0,0.6235421118233619,0.7525151353276353,0.0003853563411053401,0.0006017853380785134,0.6233974358974359,0.625,0.7516025641025641,0.7532051282051282,0.1022747507122507,0.14213853276353272,0.0007707126822106833,0.0023534437122304636,0.09935897435897435,0.10256410256410256,0.1346153846153846,0.14423076923076922,0.0032051282051282076,0.009615384615384609,1.032258064516129,1.0714285714285714,0.014538717788918108,0.014792899408284021,0.0014176528599605508,1.1059907834101381,0.9986097835536584,0.984126984126984,0.0005444461265899667,0.0060763888888889,1,14,0.19444444444444445,1,0.10169604700854702,0.10256410256410257,0.10256410256410257,0.13955662393162394,0.14262820512820512,0.14423076923076922,0.0008680555555555525,0.0046741452991452825,1,GERMINATED
zm1_1,10,72,0.0007146261948702236,0.000801282051282,0.0028890635220064,0.0008640966657620147,0,0,0,0.5233373397435899,0.7985554665242165,0.00391850113324835,0.00553964150664851,0.5168269230769231,0.5376602564102564,0.7948717948717948,0.8173076923076923,0.14336271367521367,0.1395343660968661,0.012262895430625122,0.013350229991179699,0.1282051282051282,0.1907051282051282,0.1282051282051282,0.1858974358974359,0.0625,0.05769230769230771,1.4875,1.4500000000000002,0.020159855483873914,0.035451594345825115,0.01901503944773176,2.1568750000000003,0.9879079327855175,0.9316394434361768,0.004696730551734557,0.0253993339248101,1,25,0.3472222222222222,1,0.1344150641025641,0.14102564102564102,0.15464743589743588,0.13014155982905984,0.13394764957264957,0.15451388888888887,0.02023237179487178,0.02437232905982903,1,GERMINATED
