model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,model_rank
HistGradientBoosting,0.9465403298991084,0.025484201186431715,0.9680344070990923,0.029418439531824322,0.9697324510171017,0.008783884493741597,0.9686243733341143,0.01530460943282043,0.9849652736242772,0.0062836862855202395,1
ExtraTrees,0.9449903023185466,0.02568431233937559,0.9660735885100309,0.02598024804988808,0.9696295303455132,0.01588350444490177,0.9676239170608788,0.01579099747666574,0.9874530928473257,0.007100235555332008,2
RandomForest,0.9434753287425043,0.02916121915778119,0.9658485757868049,0.026806623862133644,0.9676534849194439,0.015368710139339955,0.966587419300758,0.01802672533414867,0.9866809427509832,0.009229804324006833,3
GradientBoosting,0.9418900692183134,0.02189315290486348,0.9690260333094878,0.021666841101388598,0.962372273088256,0.007695344929162134,0.9656173216093631,0.013905181629365689,0.9827764693432555,0.008758222760893448,4
LogisticRegression,0.911412480649122,0.02407417409865509,0.9941934279312921,0.00775773921976986,0.9018208176373866,0.034098283734641126,0.9453073395724358,0.016783427196423933,0.987232838214424,0.004115677389826733,5
