model,f1_mean,f1_std,roc_auc_mean,roc_auc_std,f1_coefficient_of_variation
HistGradientBoosting,0.9686243733341143,0.01530460943282043,0.9849652736242772,0.0062836862855202395,0.015800355487793724
ExtraTrees,0.9676239170608788,0.01579099747666574,0.9874530928473257,0.007100235555332008,0.016319354243155025
RandomForest,0.966587419300758,0.01802672533414867,0.9866809427509832,0.009229804324006833,0.018649865469167227
GradientBoosting,0.9656173216093631,0.013905181629365689,0.9827764693432555,0.008758222760893448,0.014400302602474418
LogisticRegression,0.9453073395724358,0.016783427196423933,0.987232838214424,0.004115677389826733,0.01775446618664265
