metric,mean,std,minimum,maximum
accuracy,0.9470588235294118,0.1067570083110678,0.6,1.0
precision,0.9622549019607844,0.0981653600232624,0.625,1.0
recall,0.9661064425770308,0.0644372630109763,0.8333333333333334,1.0
f1,0.9626725184000726,0.0779346528362153,0.7142857142857143,1.0
roc_auc,0.914141414141414,0.2008679259644431,0.3333333333333333,1.0
error_rate,0.0529411764705882,0.1067570083110678,0.0,0.4
