feature,error_mean,correct_mean,difference,error_median,correct_median,error_min,error_max,correct_min,correct_max
width_change,24.22222222222222,59.161490683229815,-34.93926846100759,3.0,41.0,0.0,101.0,-5.0,277.0
mean_iou,0.9882751375594796,0.9758903372388964,0.0123848003205832,0.995321861383442,0.9728612002770892,0.9579566238691052,0.999732905982906,0.9502895557060486,0.9991071428571427
height_change,31.55555555555556,60.099378881987576,-28.54382332643202,2.0,50.0,-1.0,223.0,-3.0,349.0
area_change,4811.111111111111,9821.695652173914,-5010.584541062803,267.0,5830.0,-39.0,30773.0,-99.0,66287.0
std_center_x,3.223670476563032,6.28199582298379,-3.058325346420758,0.8608093090782724,3.8094283133853537,0.1703372334212196,14.299816385006991,0.1010098863003372,36.54245394864442
std_center_y,4.46394027888378,6.341462389144684,-1.8775221102609043,0.5973601899306445,4.027327207752525,0.0,34.20933832714328,0.0,35.40130456292744
std_iou,0.0210308125035687,0.0374343655454311,-0.0164035530418624,0.0196443066217078,0.0372245684474572,0.0026033104553442,0.0354611229613354,0.0049712181810982,0.0901363692371458
middle_mean_width,42.36805555555556,46.00601708074535,-3.637961525189787,41.75,43.78125,39.0,49.75,29.0,89.125
movement_std,0.4286115065222454,0.7750978516927454,-0.3464863451705,0.332962159781884,0.7395490058061313,0.0507645538792133,1.038233016057649,0.086996318169219,1.9497477155079124
median_movement,0.2542495123634152,0.4059449816328636,-0.1516954692694483,0.0,0.5,0.0,1.5811388300841898,0.0,1.5811388300841898
middle_mean_height,44.21180555555556,44.13606366459627,0.0757418909592857,42.0,41.6875,34.0,72.3125,28.0,86.5625
early_mean_area,1532.8402777777778,1444.7278726708075,88.1124051069703,1563.75,1426.71875,1237.0625,1823.21875,896.0625,2104.5
max_movement,2.657630000363004,4.997066489641019,-2.3394364892780146,3.0413812651491097,4.47213595499958,0.5,5.1478150704935,0.5,17.00735135169495
early_mean_width,38.54166666666666,38.73233695652174,-0.1906702898550776,38.65625,38.53125,34.28125,44.46875,28.9375,48.125
middle_mean_area,1926.9965277777776,2109.961956521739,-182.9654287439612,1815.15625,1877.84375,1360.0,3816.0,896.0,5864.9375
