feature,correct_mean,correct_std,error_mean,error_mean_z,absolute_z
std_iou,0.03743436554543114,0.013011319060590847,0.02103081250356872,-1.2607140725298247,1.2607140725298247
movement_std,0.7750978516927454,0.3555348951606936,0.4286115065222454,-0.9745494742897068,0.9745494742897068
mean_iou,0.9758903372388964,0.01365035270971675,0.9882751375594796,0.9072879348947013,0.9072879348947013
max_movement,4.997066489641019,2.8212049356117253,2.657630000363004,-0.8292330910624724,0.8292330910624724
width_change,59.161490683229815,62.90040745308392,24.22222222222222,-0.555469668254026,0.555469668254026
height_change,60.099378881987576,62.3120378587621,31.555555555555557,-0.45807879676684793,0.45807879676684793
std_center_x,6.28199582298379,7.0690234539018455,3.223670476563032,-0.4326376007046168,0.4326376007046168
area_change,9821.695652173914,11641.781202871987,4811.111111111111,-0.4303967282795788,0.4303967282795788
early_mean_area,1444.7278726708075,224.75547407777785,1532.8402777777778,0.3920367477967568,0.3920367477967568
median_movement,0.40594498163286363,0.42281728574517846,0.25424951236341525,-0.35877310219732006,0.35877310219732006
middle_mean_width,46.006017080745345,11.049962835066324,42.36805555555556,-0.3292283946553157,0.3292283946553157
std_center_y,6.341462389144684,7.075527241676701,4.46394027888378,-0.265354375176709,0.265354375176709
middle_mean_area,2109.961956521739,899.3129455896715,1926.9965277777778,-0.20345023347127777,0.20345023347127777
early_mean_width,38.73233695652174,4.007512145495951,38.541666666666664,-0.04757821883818175,0.04757821883818175
middle_mean_height,44.13606366459627,10.294639131503086,44.21180555555556,0.007357410977865615,0.007357410977865615
