group,error_count,false_positives,false_negatives,mean_probability,mean_confidence
pg1_1,2,1,1,0.49708592084034076,0.9302898113672005
pg1_8,4,3,1,0.7503211271004767,0.9996437157935993
pg2_8,1,1,0,0.9979620139933486,0.9979620139933486
pg3_2,1,0,1,0.182186167880417,0.817813832119583
pg3_8,1,0,1,0.3297759409056536,0.6702240590943465
