group,frame,track_id,previous_object_index,current_object_index,center_distance,object_index_preserved
pg1_1,15,5,5,5,0.0,True
pg1_1,15,6,6,6,0.0,True
pg1_1,15,7,7,7,0.0,True
pg1_1,15,8,8,8,0.5,True
pg1_1,15,9,9,9,0.0,True
pg1_1,16,0,0,0,0.0,True
pg1_1,16,1,1,1,0.5,True
pg1_1,16,2,2,2,0.5,True
pg1_1,16,3,3,3,0.0,True
pg1_1,16,4,4,4,0.0,True
pg1_1,16,5,5,5,0.0,True
pg1_1,16,6,6,6,0.0,True
pg1_1,16,7,7,7,0.0,True
pg1_1,16,8,8,8,0.0,True
pg1_1,16,9,9,9,0.0,True
pg1_1,17,0,0,0,0.0,True
pg1_1,17,1,1,1,0.0,True
pg1_1,17,2,2,2,0.0,True
pg1_1,17,3,3,3,0.0,True
pg1_1,17,4,4,4,0.0,True
pg1_1,17,5,5,5,0.0,True
pg1_1,17,6,6,6,0.0,True
pg1_1,17,7,7,7,0.0,True
pg1_1,17,8,8,8,0.0,True
pg1_1,17,9,9,9,0.0,True
pg1_1,18,0,0,0,0.0,True
pg1_1,18,1,1,1,0.5,True
pg1_1,18,2,2,2,0.0,True
pg1_1,18,3,3,3,0.5,True
pg1_1,18,4,4,4,0.0,True
pg1_1,18,5,5,5,0.0,True
pg1_1,18,6,6,6,0.0,True
pg1_1,18,7,7,7,0.0,True
pg1_1,18,8,8,8,0.0,True
pg1_1,18,9,9,9,0.0,True
pg1_1,19,0,0,0,0.0,True
pg1_1,19,1,1,1,0.0,True
pg1_1,19,2,2,2,0.0,True
pg1_1,19,3,3,3,0.0,True
pg1_1,19,4,4,4,0.0,True
pg1_1,19,5,5,5,0.0,True
pg1_1,19,6,6,6,0.0,True
pg1_1,19,7,7,7,0.0,True
pg1_1,19,8,8,8,0.0,True
pg1_1,19,9,9,9,0.0,True
pg1_1,20,0,0,0,0.0,True
pg1_1,20,1,1,1,0.0,True
pg1_1,20,2,2,2,0.0,True
pg1_1,20,3,3,3,0.0,True
pg1_1,20,4,4,4,0.0,True
pg1_1,20,5,5,5,0.5,True
pg1_1,20,6,6,6,0.0,True
pg1_1,20,7,7,7,0.0,True
pg1_1,20,8,8,8,0.0,True
pg1_1,20,9,9,9,0.0,True
pg1_1,21,0,0,0,0.0,True
pg1_1,21,1,1,1,0.0,True
pg1_1,21,2,2,2,0.0,True
pg1_1,21,3,3,3,0.0,True
pg1_1,21,4,4,4,0.5,True
pg1_1,21,5,5,5,0.0,True
pg1_1,21,6,6,6,0.0,True
pg1_1,21,7,7,7,0.0,True
pg1_1,21,8,8,8,0.0,True
pg1_1,21,9,9,9,0.0,True
pg1_1,22,0,0,0,0.0,True
pg1_1,22,1,1,1,0.0,True
pg1_1,22,2,2,2,0.5,True
pg1_1,22,3,3,3,0.0,True
pg1_1,22,4,4,4,0.0,True
pg1_1,22,5,5,5,0.0,True
pg1_1,22,6,6,6,0.0,True
pg1_1,22,7,7,7,0.0,True
pg1_1,22,8,8,8,0.0,True
pg1_1,22,9,9,9,0.0,True
pg1_1,23,0,0,0,0.0,True
pg1_1,23,1,1,1,0.0,True
pg1_1,23,2,2,2,0.5,True
pg1_1,23,3,3,3,0.0,True
pg1_1,23,4,4,4,0.0,True
pg1_1,23,5,5,5,0.0,True
pg1_1,23,6,6,6,0.0,True
pg1_1,23,7,7,7,0.0,True
pg1_1,23,8,8,8,0.0,True
pg1_1,23,9,9,9,0.0,True
pg1_1,24,0,0,0,0.0,True
pg1_1,24,1,1,1,0.0,True
pg1_1,24,2,2,2,0.0,True
pg1_1,24,3,3,3,0.0,True
pg1_1,24,4,4,4,0.0,True
pg1_1,24,5,5,5,0.0,True
pg1_1,24,6,6,6,0.0,True
pg1_1,24,7,7,7,0.0,True
pg1_1,24,8,8,8,0.0,True
pg1_1,24,9,9,9,0.0,True
pg1_1,25,0,0,0,0.0,True
pg1_1,25,1,1,1,0.0,True
pg1_1,25,2,2,2,0.0,True
pg1_1,25,3,3,3,0.0,True
pg1_1,25,4,4,4,0.0,True
pg1_1,25,5,5,5,0.0,True
pg1_1,25,6,6,6,0.0,True
pg1_1,25,7,7,7,0.0,True
pg1_1,25,8,8,8,0.0,True
pg1_1,25,9,9,9,0.0,True
pg1_1,26,0,0,0,0.0,True
pg1_1,26,1,1,1,0.5,True
pg1_1,26,2,2,2,0.0,True
pg1_1,26,3,3,3,0.0,True
pg1_1,26,4,4,4,0.0,True
pg1_1,26,5,5,5,0.0,True
pg1_1,26,6,6,6,0.0,True
pg1_1,26,7,7,7,0.0,True
pg1_1,26,8,8,8,0.0,True
pg1_1,26,9,9,9,0.0,True
pg1_1,27,0,0,0,0.0,True
pg1_1,27,1,1,1,0.0,True
pg1_1,27,2,2,2,0.0,True
pg1_1,27,3,3,3,0.0,True
pg1_1,27,4,4,4,0.0,True
pg1_1,27,5,5,5,0.5,True
pg1_1,27,6,6,6,0.0,True
pg1_1,27,7,7,7,0.0,True
pg1_1,27,8,8,8,0.0,True
pg1_1,27,9,9,9,0.0,True
pg1_1,28,0,0,0,0.0,True
pg1_1,28,1,1,1,1.0,True
pg1_1,28,2,2,2,0.0,True
pg1_1,28,3,3,3,0.0,True
pg1_1,28,4,4,4,0.0,True
pg1_1,28,5,5,5,0.0,True
pg1_1,28,6,6,6,0.0,True
pg1_1,28,7,7,7,0.0,True
pg1_1,28,8,8,8,0.0,True
pg1_1,28,9,9,9,0.0,True
pg1_1,29,0,0,0,0.0,True
pg1_1,29,1,1,1,0.0,True
pg1_1,29,2,2,2,0.0,True
pg1_1,29,3,3,3,0.0,True
pg1_1,29,4,4,4,0.0,True
pg1_1,29,5,5,5,0.0,True
pg1_1,29,6,6,6,0.0,True
pg1_1,29,7,7,7,0.0,True
pg1_1,29,8,8,8,0.0,True
pg1_1,29,9,9,9,0.0,True
pg1_1,30,0,0,0,1.118033988749895,True
pg1_1,30,1,1,1,0.0,True
pg1_1,30,2,2,2,0.0,True
pg1_1,30,3,3,3,0.0,True
pg1_1,30,4,4,4,0.0,True
pg1_1,30,5,5,5,0.0,True
pg1_1,30,6,6,6,0.0,True
pg1_1,30,7,7,7,0.0,True
pg1_1,30,8,8,8,0.0,True
pg1_1,30,9,9,9,0.0,True
pg1_1,31,0,0,0,0.0,True
pg1_1,31,1,1,1,0.0,True
pg1_1,31,2,2,2,0.0,True
pg1_1,31,3,3,3,0.0,True
pg1_1,31,4,4,4,0.0,True
pg1_1,31,5,5,5,0.5,True
pg1_1,31,6,6,6,0.5,True
pg1_1,31,7,7,7,0.0,True
pg1_1,31,8,8,8,0.0,True
pg1_1,31,9,9,9,0.0,True
pg1_1,32,0,0,0,0.5,True
pg1_1,32,1,1,1,1.0,True
pg1_1,32,2,2,2,0.0,True
pg1_1,32,3,3,3,0.0,True
pg1_1,32,4,4,4,0.0,True
pg1_1,32,5,5,5,0.0,True
pg1_1,32,6,6,6,0.0,True
pg1_1,32,7,7,7,0.0,True
pg1_1,32,8,8,8,0.0,True
pg1_1,32,9,9,9,1.8027756377319946,True
pg1_1,33,0,0,0,0.0,True
pg1_1,33,1,1,1,1.0,True
pg1_1,33,2,2,2,0.0,True
pg1_1,33,3,3,3,0.0,True
pg1_1,33,4,4,4,0.0,True
pg1_1,33,5,5,5,0.0,True
pg1_1,33,6,6,6,0.0,True
pg1_1,33,7,7,7,0.0,True
pg1_1,33,8,8,8,0.0,True
pg1_1,33,9,9,9,0.0,True
pg1_1,34,0,0,0,0.5,True
pg1_1,34,1,1,1,0.0,True
pg1_1,34,2,2,2,0.0,True
pg1_1,34,3,3,3,0.0,True
pg1_1,34,4,4,4,0.0,True
pg1_1,34,5,5,5,0.5,True
pg1_1,34,6,6,6,0.0,True
pg1_1,34,7,7,7,0.0,True
pg1_1,34,8,8,8,0.0,True
pg1_1,34,9,9,9,0.0,True
pg1_1,35,0,0,0,0.0,True
pg1_1,35,1,1,1,0.0,True
pg1_1,35,2,2,2,0.0,True
pg1_1,35,3,3,3,0.5,True
pg1_1,35,4,4,4,0.0,True
pg1_1,35,5,5,5,0.0,True
pg1_1,35,6,6,6,0.0,True
pg1_1,35,7,7,7,0.0,True
pg1_1,35,8,8,8,0.0,True
pg1_1,35,9,9,9,1.0,True
pg1_1,36,0,0,0,0.0,True
pg1_1,36,1,1,1,0.0,True
pg1_1,36,2,2,2,0.0,True
pg1_1,36,3,3,3,0.0,True
pg1_1,36,4,4,4,0.0,True
pg1_1,36,5,5,5,0.0,True
pg1_1,36,6,6,6,0.0,True
pg1_1,36,7,7,7,0.0,True
pg1_1,36,8,8,8,0.0,True
pg1_1,36,9,9,9,0.5,True
pg1_1,37,0,0,0,0.7071067811865476,True
pg1_1,37,1,1,1,0.0,True
pg1_1,37,2,2,2,0.0,True
pg1_1,37,3,3,3,0.0,True
pg1_1,37,4,4,4,0.0,True
pg1_1,37,5,5,5,0.0,True
pg1_1,37,6,6,6,0.0,True
pg1_1,37,7,7,7,0.0,True
pg1_1,37,8,8,8,0.0,True
pg1_1,37,9,9,9,0.0,True
pg1_1,38,0,0,0,0.5,True
pg1_1,38,1,1,1,0.5,True
pg1_1,38,2,2,2,0.0,True
pg1_1,38,3,3,3,0.0,True
pg1_1,38,4,4,4,0.0,True
pg1_1,38,5,5,5,0.0,True
pg1_1,38,6,6,6,0.0,True
pg1_1,38,7,7,7,0.0,True
pg1_1,38,8,8,8,0.0,True
pg1_1,38,9,9,9,0.5,True
pg1_1,39,0,0,0,0.5,True
pg1_1,39,1,1,1,0.0,True
pg1_1,39,2,2,2,0.0,True
pg1_1,39,3,3,3,0.0,True
pg1_1,39,4,4,4,0.0,True
pg1_1,39,5,5,5,0.0,True
pg1_1,39,6,6,6,0.0,True
pg1_1,39,7,7,7,0.0,True
pg1_1,39,8,8,8,0.0,True
pg1_1,39,9,9,9,0.0,True
pg1_1,40,0,0,0,0.0,True
pg1_1,40,1,1,1,0.0,True
pg1_1,40,2,2,2,0.0,True
pg1_1,40,3,3,3,0.0,True
pg1_1,40,4,4,4,0.0,True
pg1_1,40,5,5,5,0.0,True
pg1_1,40,6,6,6,0.0,True
pg1_1,40,7,7,7,0.0,True
pg1_1,40,8,8,8,0.0,True
pg1_1,40,9,9,9,0.0,True
pg1_1,41,0,0,0,0.0,True
pg1_1,41,1,1,1,0.0,True
pg1_1,41,2,2,2,0.0,True
pg1_1,41,3,3,3,0.0,True
pg1_1,41,4,4,4,0.0,True
pg1_1,41,5,5,5,0.0,True
pg1_1,41,6,6,6,0.0,True
pg1_1,41,7,7,7,0.0,True
pg1_1,41,8,8,8,0.0,True
pg1_1,41,9,9,9,0.0,True
pg1_1,42,0,0,0,0.5,True
pg1_1,42,1,1,1,0.0,True
pg1_1,42,2,2,2,0.0,True
pg1_1,42,3,3,3,0.0,True
pg1_1,42,4,4,4,0.0,True
pg1_1,42,5,5,5,0.0,True
pg1_1,42,6,6,6,0.0,True
pg1_1,42,7,7,7,0.0,True
pg1_1,42,8,8,8,2.692582403567252,True
pg1_1,42,9,9,9,0.0,True
pg1_1,43,0,0,0,0.0,True
pg1_1,43,1,1,1,0.5,True
pg1_1,43,2,2,2,0.0,True
pg1_1,43,3,3,3,0.0,True
pg1_1,43,4,4,4,0.0,True
pg1_1,43,5,5,5,0.0,True
pg1_1,43,6,6,6,0.0,True
pg1_1,43,7,7,7,0.0,True
pg1_1,43,8,8,8,0.0,True
pg1_1,43,9,9,9,1.0,True
pg1_1,44,0,0,0,0.5,True
pg1_1,44,1,1,1,0.0,True
pg1_1,44,2,2,2,0.0,True
pg1_1,44,3,3,3,0.0,True
pg1_1,44,4,4,4,0.0,True
pg1_1,44,5,5,5,0.0,True
pg1_1,44,6,6,6,0.0,True
pg1_1,44,7,7,7,0.0,True
pg1_1,44,8,8,8,0.5,True
pg1_1,44,9,9,9,1.118033988749895,True
pg1_1,45,0,0,0,0.0,True
pg1_1,45,1,1,1,0.0,True
pg1_1,45,2,2,2,0.0,True
pg1_1,45,3,3,3,0.0,True
pg1_1,45,4,4,4,0.0,True
pg1_1,45,5,5,5,0.0,True
pg1_1,45,6,6,6,0.0,True
pg1_1,45,7,7,7,0.0,True
pg1_1,45,8,8,8,0.0,True
pg1_1,45,9,9,9,3.0413812651491097,True
pg1_1,46,0,0,0,1.5,True
pg1_1,46,1,1,1,0.0,True
pg1_1,46,2,2,2,0.0,True
pg1_1,46,3,3,3,0.0,True
pg1_1,46,4,4,4,0.0,True
pg1_1,46,5,5,5,0.0,True
pg1_1,46,6,6,6,0.0,True
pg1_1,46,7,7,7,0.0,True
pg1_1,46,8,8,8,0.0,True
pg1_1,46,9,9,9,1.118033988749895,True
pg1_1,47,0,0,0,1.118033988749895,True
pg1_1,47,1,1,1,0.5,True
pg1_1,47,2,2,2,0.0,True
pg1_1,47,3,3,3,0.0,True
pg1_1,47,4,4,4,0.0,True
pg1_1,47,5,5,5,0.0,True
pg1_1,47,6,6,6,0.0,True
pg1_1,47,7,7,7,0.0,True
pg1_1,47,8,8,8,0.5,True
pg1_1,47,9,9,9,0.5,True
pg1_1,48,0,0,0,0.5,True
pg1_1,48,1,1,1,0.0,True
pg1_1,48,2,2,2,0.0,True
pg1_1,48,3,3,3,0.0,True
pg1_1,48,4,4,4,0.0,True
pg1_1,48,5,5,5,0.0,True
pg1_1,48,6,6,6,0.0,True
pg1_1,48,7,7,7,0.0,True
pg1_1,48,8,8,8,0.5,True
pg1_1,48,9,9,9,0.5,True
pg1_1,49,0,0,0,0.5,True
pg1_1,49,1,1,1,0.5,True
pg1_1,49,2,2,2,0.0,True
pg1_1,49,3,3,3,0.0,True
pg1_1,49,4,4,4,0.0,True
pg1_1,49,5,5,5,0.0,True
pg1_1,49,6,6,6,0.0,True
pg1_1,49,7,7,7,0.0,True
pg1_1,49,8,8,8,0.0,True
pg1_1,49,9,9,9,1.0,True
pg1_1,50,0,0,0,2.5495097567963922,True
pg1_1,50,1,1,1,0.0,True
pg1_1,50,2,2,2,0.0,True
pg1_1,50,3,3,3,0.0,True
pg1_1,50,4,4,4,0.0,True
pg1_1,50,5,5,5,0.0,True
pg1_1,50,6,6,6,0.0,True
pg1_1,50,7,7,7,0.0,True
pg1_1,50,8,8,8,0.0,True
pg1_1,50,9,9,9,1.0,True
pg1_1,51,0,0,0,2.0,True
pg1_1,51,1,1,1,0.0,True
pg1_1,51,2,2,2,0.0,True
pg1_1,51,3,3,3,0.0,True
pg1_1,51,4,4,4,0.0,True
pg1_1,51,5,5,5,0.0,True
pg1_1,51,6,6,6,0.0,True
pg1_1,51,7,7,7,0.0,True
pg1_1,51,8,8,8,0.5,True
pg1_1,51,9,9,9,1.0,True
pg1_1,52,0,0,0,0.0,True
pg1_1,52,1,1,1,0.0,True
pg1_1,52,2,2,2,0.0,True
pg1_1,52,3,3,3,0.5,True
pg1_1,52,4,4,4,0.0,True
pg1_1,52,5,5,5,0.0,True
pg1_1,52,6,6,6,0.0,True
pg1_1,52,7,7,7,0.0,True
pg1_1,52,8,8,8,0.0,True
pg1_1,52,9,9,9,1.118033988749895,True
pg1_1,53,0,0,0,1.0,True
pg1_1,53,1,1,1,0.0,True
pg1_1,53,2,2,2,0.0,True
pg1_1,53,3,3,3,0.0,True
pg1_1,53,4,4,4,0.0,True
pg1_1,53,5,5,5,0.0,True
pg1_1,53,6,6,6,0.0,True
pg1_1,53,7,7,7,0.0,True
