group,transitions,mean_distance,median_distance,max_distance,index_changes
pg1_1,960,0.2851627019221129,0.0,4.6097722286464435,0
pg1_10,960,0.5467743782883864,0.0,11.672617529928752,0
pg1_11,960,0.3467565099548624,0.0,7.5,0
pg1_12,960,0.6996558220088935,0.0,8.246211251235321,0
pg1_2,960,0.5541953915573345,0.0,10.124228365658293,0
pg1_3,960,0.598892791472489,0.0,8.5,0
pg1_4,960,0.5600753577552704,0.0,9.12414379544733,0
pg1_5,960,0.5551194287782694,0.0,6.800735254367722,0
pg1_6,960,0.6414045702749857,0.0,14.705441169852742,0
pg1_7,960,0.754784486534017,0.5,11.704699910719626,0
pg1_8,960,0.3457326095763572,0.0,7.810249675906654,875
pg1_9,960,0.6296870615418354,0.5,9.192388155425117,856
pg2_1,960,0.4969230880671534,0.0,12.165525060596439,0
pg2_10,960,0.530325980885822,0.0,9.5,0
pg2_11,960,0.5609844053455485,0.0,6.708203932499369,0
pg2_12,960,0.5593373262264312,0.0,12.776932339180638,0
pg2_2,960,0.7400403912330495,0.5,13.536986370680884,0
pg2_3,960,0.4138082048290123,0.0,6.020797289396148,0
pg2_4,960,0.5515770921593411,0.0,7.433034373659253,0
pg2_5,960,0.5435089060760636,0.5,7.158910531638177,0
pg2_6,960,0.5022791538447892,0.0,6.670832032063167,0
pg2_7,960,0.5927928878201983,0.0,9.513148795220223,2
pg2_8,960,0.7548608711008278,0.5,9.013878188659973,0
pg2_9,960,0.25287865366773493,0.0,8.06225774829855,0
pg3_1,960,0.7553073403248053,0.5,20.554804791094465,0
pg3_10,960,0.5561316155143153,0.0,13.209844813622906,0
pg3_11,960,0.7468842215637185,0.5,9.486832980505138,0
pg3_12,960,0.43719449224710244,0.0,5.0,0
pg3_2,960,0.6252774552188834,0.0,17.00735135169495,0
pg3_3,960,0.17427634272099843,0.0,10.5,0
pg3_4,960,0.6947972331059147,0.5,17.0,0
pg3_5,960,0.810319857155256,0.5,9.340770846134703,0
pg3_7,960,0.47784858413750253,0.0,8.06225774829855,0
pg3_8,960,0.501078967912162,0.0,9.013878188659973,0
pg3_9,960,0.7356150023841771,0.0,11.597413504743201,0
pg4_1,960,0.589987323983296,0.0,8.381527307120106,0
pg4_10,1056,0.3662026914726287,0.0,4.301162633521313,0
pg4_11,960,0.41303433929642513,0.0,6.264982043070834,0
pg4_12,960,0.479783049916695,0.0,8.06225774829855,0
pg4_2,960,0.4904874843704963,0.5,4.242640687119285,0
pg4_3,960,0.5337583857863495,0.0,9.055385138137417,0
pg4_4,960,0.6433671744100132,0.5,6.082762530298219,0
pg4_5,960,0.6428266556211079,0.5,6.324555320336759,0
pg4_6,960,0.5795544508278053,0.5,7.211102550927978,0
pg4_7,960,0.3150491749626115,0.0,2.23606797749979,0
pg4_8,960,0.591650524346417,0.25,14.142135623730951,0
pg4_9,960,0.37303731150558767,0.0,4.527692569068709,0
pg5_1,960,0.487794007342322,0.0,9.340770846134703,0
pg5_10,960,0.47756411450370057,0.0,7.106335201775948,0
pg5_11,960,0.2849123604346279,0.0,7.5,0
pg5_12,960,0.15615684396976015,0.0,4.272001872658765,0
pg5_2,960,0.8290601848407384,0.5,9.17877987534291,0
pg5_3,960,0.3868531358152768,0.0,11.543396380615196,0
pg5_5,960,0.5382553901728994,0.0,7.5,0
pg5_6,960,0.6165389949463763,0.5,12.041594578792296,0
pg5_7,960,0.5612536133232563,0.5,7.905694150420948,0
pg5_8,960,0.26829258605797085,0.0,8.631338250816034,0
pg6_1,960,0.9038992404729927,0.5,7.905694150420948,0
pg6_10,960,0.4965751458296497,0.5,3.640054944640259,0
pg6_11,960,0.37901390322356526,0.0,5.522680508593631,0
pg6_12,960,0.7157465955752896,0.5,12.349089035228468,0
pg6_2,960,0.4931702840802997,0.0,7.0,0
pg6_3,960,0.5162427776804236,0.0,14.317821063276353,0
pg6_4,960,0.582582260557233,0.0,8.276472678623424,0
pg6_5,1056,0.7105556922500262,0.5,6.670832032063167,0
pg6_6,960,0.8776885858467309,0.7071067811865476,6.264982043070834,0
pg6_7,960,0.5694398317413353,0.0,4.0,0
pg6_8,960,0.3550119286382206,0.0,5.315072906367325,0
pg6_9,960,0.8668477618679041,0.5,10.307764064044152,2
pg7_1,960,0.4610676975887435,0.0,8.514693182963201,0
pg7_10,960,0.5278743598608254,0.0,6.363961030678928,0
pg7_11,960,0.5723634803499367,0.5,6.670832032063167,0
pg7_12,960,0.5094852866319437,0.0,38.56488039654732,0
pg7_2,960,0.630311080873538,0.0,7.5,0
pg7_3,960,0.43827967057099804,0.0,7.433034373659253,0
pg7_4,960,0.6300097329123585,0.0,8.5,0
pg7_5,960,0.48980699110225273,0.5,5.0990195135927845,0
pg7_6,960,0.7399558285819837,0.5,5.408326913195984,0
pg7_7,960,0.29228728619465555,0.0,4.272001872658765,0
pg7_8,960,0.7769691382523326,0.0,14.916433890176299,0
pg7_9,960,0.357742950209158,0.0,6.946221994724902,0
pg8_1,1152,0.48115355909197066,0.0,6.670832032063167,0
