metric,mean,std,minimum,maximum
accuracy,0.9470588235294118,0.10675700831106785,0.6,1.0
precision,0.9622549019607843,0.09816536002326243,0.625,1.0
recall,0.9661064425770308,0.06443726301097633,0.8333333333333334,1.0
f1,0.9626725184000726,0.0779346528362153,0.7142857142857143,1.0
roc_auc,0.9141414141414141,0.20086792596444317,0.3333333333333333,1.0
error_rate,0.05294117647058824,0.10675700831106785,0.0,0.4
