group,records,actual_non_germinated,actual_germinated,correct,errors,error_rate,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,mean_probability,median_probability,error_fraction_of_all_errors
pg1_8,10,4,6,6,4,0.4,0.6,0.625,0.8333333333333334,0.7142857142857143,0.3333333333333333,1,3,1,5,0.7916835761467702,0.9997992720775245,0.4444444444444444
pg1_1,10,4,6,8,2,0.2,0.8,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,3,1,1,5,0.686988035458771,0.9195521057968414,0.2222222222222222
pg2_8,10,1,9,9,1,0.1,0.9,0.9,1.0,0.9473684210526315,0.8888888888888888,0,1,0,9,0.9979854397275453,0.9999946668924113,0.1111111111111111
pg3_2,10,0,10,9,1,0.1,0.9,1.0,0.9,0.9473684210526315,,0,0,1,9,0.8771978075565066,0.9999579356560372,0.1111111111111111
pg3_8,10,3,7,9,1,0.1,0.9,1.0,0.8571428571428571,0.9230769230769231,1.0,3,0,1,6,0.642370035859783,0.9997731128762533,0.1111111111111111
