metric,global_test_value,mean_group_value,mean_group_minus_global
accuracy,0.9470588235294117,0.9470588235294118,1.1102230246251565e-16
precision,0.9662162162162162,0.9622549019607843,-0.003961314255431891
recall,0.9727891156462585,0.9661064425770308,-0.0066826730692276515
f1,0.9694915254237289,0.9626725184000726,-0.006819007023656232
