stage,model,f1_mean,f1_std,roc_auc_mean,accuracy_mean,precision_mean,recall_mean
P20,HistGradientBoosting,0.9686243733341144,0.0153046094328204,0.9849652736242772,0.9465403298991084,0.9680344070990924,0.9697324510171016
P21,HistGradientBoosting,0.9686243733341143,0.01711107353043549,0.9854268387120106,0.9465403298991084,0.9680344070990923,0.9697324510171017
