learning_rate,max_iter,max_leaf_nodes,min_samples_leaf,l2_regularization,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
0.05,400,15,20,0.1,0.9465403298991084,0.028492203102571056,0.9680344070990923,0.03289081529256314,0.9697324510171017,0.009820681417256269,0.9686243733341143,0.01711107353043549,0.9854268387120106,0.0068529757426117255
0.05,300,15,20,0.1,0.9465403298991084,0.028492203102571056,0.9680344070990923,0.03289081529256314,0.9697324510171017,0.009820681417256269,0.9686243733341143,0.01711107353043549,0.9849652736242772,0.0070253748418532035
0.08,400,15,20,0.1,0.9450137902809658,0.03551439255028767,0.9646673188781782,0.0393126030410381,0.9714418527265034,0.0076010635236191185,0.9677330255119955,0.021229367705394273,0.9840685850603273,0.006348208279778858
0.05,200,15,20,0.1,0.9450136123418567,0.029197638221756476,0.9662517833538518,0.033493853994096254,0.9697324510171017,0.009820681417256269,0.9677289158248772,0.0176138248129547,0.984368645522213,0.006898162259615997
0.03,300,15,20,0.1,0.9450136123418567,0.029197638221756476,0.9679759212848863,0.03528469667433152,0.9680375357628644,0.009501831947576578,0.9676994433816116,0.017582175762538774,0.9842692057102752,0.006457017329730418
0.03,400,15,20,0.1,0.9450136123418567,0.029197638221756476,0.9679759212848863,0.03528469667433152,0.9680375357628644,0.009501831947576578,0.9676994433816116,0.017582175762538774,0.9840910211344708,0.0070260172383996705
0.08,300,15,20,0.1,0.9434753287425043,0.03435060655960157,0.962913779624639,0.038535054222031837,0.9714418527265034,0.0076010635236191185,0.9668523241828637,0.02057161977268353,0.984414432253949,0.006903934803113617
0.08,200,15,20,0.1,0.9435102048079147,0.03166660459398936,0.9662102034509295,0.036356227993434284,0.9680230493077,0.012819358109883966,0.9667892998979838,0.01905141263145354,0.9847200301756572,0.007452865348890469
0.03,200,15,20,0.1,0.9389065641737397,0.033193891603952856,0.9644818576340317,0.0369627378828394,0.9644762822016109,0.011865541403925855,0.9641660059634682,0.019849286070333597,0.9851336963230495,0.008112402874352264
