learning_rate,max_iter,max_leaf_nodes,min_samples_leaf,l2_regularization,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
0.05,400,15,20,0.1,0.9465403298991084,0.028492203102571056,0.9680344070990923,0.03289081529256314,0.9697324510171017,0.009820681417256269,0.9686243733341143,0.01711107353043549,0.9854268387120106,0.0068529757426117255
0.05,400,31,20,0.1,0.9465520738803181,0.030943162546294516,0.9679759212848863,0.03528469667433152,0.9697324510171017,0.009820681417256269,0.9685726119475433,0.018596182992832083,0.9847734318903795,0.007072067055633048
0.05,400,15,30,0.1,0.9450602323884766,0.03245846821776142,0.9662844766963762,0.03462219008267653,0.9699172512019019,0.021622502249254213,0.9677093963291789,0.019442272301260173,0.9842814078932169,0.008443677512499548
0.05,400,31,30,0.1,0.9450602323884766,0.03245846821776142,0.9662844766963762,0.03462219008267653,0.9699172512019019,0.021622502249254213,0.9677093963291789,0.019442272301260173,0.9842814078932169,0.008443677512499548
0.05,400,7,30,0.1,0.9450136123418567,0.02969996425158021,0.9679431612521263,0.035268514116420104,0.9679306492152999,0.007582886307650509,0.967651328673319,0.017865532889706614,0.983682297422531,0.008123718727379912
0.05,400,7,20,0.1,0.9435102048079148,0.033456197803891696,0.9678075632023001,0.035569037664943376,0.966171197455848,0.012729575932075401,0.9667230463464866,0.020107722742888905,0.9842401651062307,0.007305358565919661
0.05,400,7,10,0.1,0.9389300521361591,0.03809791838662762,0.9626771733181029,0.03789361555278533,0.9661038403791453,0.01708777166395849,0.9640916035659103,0.022927380645792764,0.9840409593530485,0.008928312806730829
0.05,400,31,10,0.1,0.9388601220662289,0.036968799599834845,0.9626289107698403,0.03891510971391831,0.9659190401943449,0.008564865514703306,0.9640120573684848,0.02231376855873822,0.9849805823064012,0.009332265457435195
0.05,400,15,10,0.1,0.9373449705510775,0.03551569122791426,0.9626289107698403,0.03891510971391831,0.9642096384849432,0.009403444854741372,0.9631235060109757,0.02146023565544888,0.9849071415682393,0.009517225604036506
