feature,coefficient,absolute_coefficient
observed_zm_el_75pct,2.1920277642201054,2.1920277642201054
width_growth_early_late,1.4541626691092109,1.4541626691092109
max_area,1.1952556273512442,1.1952556273512442
height_growth_early_late,1.0380232902781497,1.0380232902781497
max_height,0.9319575698602066,0.9319575698602066
max_width,0.8649303069571109,0.8649303069571109
mean_area,-0.7416828319450449,0.7416828319450449
zm_el_count_75pct,0.6912251749786764,0.6912251749786764
height_change,0.5683522448071299,0.5683522448071299
width_growth_ratio,0.5387699774289173,0.5387699774289173
max_movement,-0.32230214783813405,0.32230214783813405
std_center_x,0.3130887003222296,0.3130887003222296
area_growth_ratio,0.2706001083555987,0.2706001083555987
std_center_y,0.2595471742791487,0.2595471742791487
mean_height,-0.20700796071734437,0.20700796071734437
movement_std,0.13825546927300789,0.13825546927300789
min_center_y,-0.12824116533246527,0.12824116533246527
min_center_x,-0.05658499457733777,0.05658499457733777
median_movement,-0.0340267949374875,0.0340267949374875
mean_match_cost,-0.015415156833897747,0.015415156833897747
