threshold,accuracy,precision,recall,specificity,balanced_accuracy,f1,tp,tn,fp,fn
0.05,0.9342507645259939,0.9434931506849316,0.982174688057041,0.6451612903225806,0.8136679891898109,0.9624454148471616,551,60,33,10
0.06,0.9327217125382263,0.9433962264150944,0.9803921568627451,0.6451612903225806,0.8127767235926628,0.9615384615384616,550,60,33,11
0.07,0.9357798165137615,0.9466437177280551,0.9803921568627451,0.6666666666666666,0.8235294117647058,0.9632224168126094,550,62,31,11
0.08,0.9327217125382263,0.9464594127806563,0.9768270944741533,0.6666666666666666,0.82174688057041,0.9614035087719298,548,62,31,13
0.09,0.9311926605504587,0.9463667820069204,0.9750445632798574,0.6666666666666666,0.820855614973262,0.9604916593503073,547,62,31,14
0.1,0.9311926605504587,0.9463667820069204,0.9750445632798574,0.6666666666666666,0.820855614973262,0.9604916593503073,547,62,31,14
0.11,0.9311926605504587,0.9463667820069204,0.9750445632798574,0.6666666666666666,0.820855614973262,0.9604916593503073,547,62,31,14
0.12,0.9327217125382263,0.9480069324090121,0.9750445632798574,0.6774193548387096,0.8262319590592835,0.961335676625659,547,63,30,14
0.13,0.9342507645259939,0.9496527777777778,0.9750445632798574,0.6881720430107527,0.8316083031453051,0.9621811785400176,547,64,29,14
0.14,0.9342507645259939,0.9496527777777778,0.9750445632798574,0.6881720430107527,0.8316083031453051,0.9621811785400176,547,64,29,14
0.15,0.9342507645259939,0.9496527777777778,0.9750445632798574,0.6881720430107527,0.8316083031453051,0.9621811785400176,547,64,29,14
0.16,0.9357798165137615,0.951304347826087,0.9750445632798574,0.6989247311827957,0.8369846472313266,0.9630281690140845,547,65,28,14
0.17,0.9342507645259939,0.9512195121951219,0.9732620320855615,0.6989247311827957,0.8360933816341787,0.9621145374449339,546,65,28,15
0.18,0.9342507645259939,0.9512195121951219,0.9732620320855615,0.6989247311827957,0.8360933816341787,0.9621145374449339,546,65,28,15
0.19,0.9342507645259939,0.9527972027972028,0.9714795008912656,0.7096774193548387,0.8405784601230522,0.9620476610767873,545,66,27,16
0.2,0.9342507645259939,0.9527972027972028,0.9714795008912656,0.7096774193548387,0.8405784601230522,0.9620476610767873,545,66,27,16
0.21,0.9357798165137615,0.9544658493870403,0.9714795008912656,0.7204301075268817,0.8459548042090737,0.9628975265017667,545,67,26,16
0.22,0.9357798165137615,0.9544658493870403,0.9714795008912656,0.7204301075268817,0.8459548042090737,0.9628975265017667,545,67,26,16
0.23,0.9357798165137615,0.9544658493870403,0.9714795008912656,0.7204301075268817,0.8459548042090737,0.9628975265017667,545,67,26,16
0.24,0.9373088685015291,0.956140350877193,0.9714795008912656,0.7311827956989247,0.8513311482950952,0.9637488947833776,545,68,25,16
0.25,0.9373088685015291,0.956140350877193,0.9714795008912656,0.7311827956989247,0.8513311482950952,0.9637488947833776,545,68,25,16
0.26,0.9373088685015291,0.956140350877193,0.9714795008912656,0.7311827956989247,0.8513311482950952,0.9637488947833776,545,68,25,16
0.27,0.9373088685015291,0.956140350877193,0.9714795008912656,0.7311827956989247,0.8513311482950952,0.9637488947833776,545,68,25,16
0.28,0.9373088685015291,0.956140350877193,0.9714795008912656,0.7311827956989247,0.8513311482950952,0.9637488947833776,545,68,25,16
0.29,0.9373088685015291,0.956140350877193,0.9714795008912656,0.7311827956989247,0.8513311482950952,0.9637488947833776,545,68,25,16
