threshold,accuracy,precision,recall,specificity,balanced_accuracy,f1,tp,tn,fp,fn
0.2,0.9342507645259939,0.9527972027972028,0.9714795008912656,0.7096774193548387,0.8405784601230522,0.9620476610767873,545,66,27,16
0.3,0.9373088685015291,0.956140350877193,0.9714795008912656,0.7311827956989247,0.8513311482950952,0.9637488947833776,545,68,25,16
0.4,0.9388379204892966,0.9594356261022927,0.9696969696969697,0.7526881720430108,0.8611925708699902,0.9645390070921985,544,70,23,17
0.5,0.9464831804281345,0.9679715302491103,0.9696969696969697,0.8064516129032258,0.8880742913000977,0.968833481745325,544,75,18,17
0.6,0.9464831804281345,0.9696428571428571,0.9679144385026738,0.8172043010752689,0.8925593697889713,0.9687778768956289,543,76,17,18
0.7,0.9418960244648318,0.9711711711711711,0.9607843137254902,0.8279569892473119,0.894370651486401,0.9659498207885304,539,77,16,22
0.8,0.9403669724770642,0.9745454545454545,0.9554367201426025,0.8494623655913979,0.9024495428670002,0.9648964896489649,536,79,14,25
