group,object_index,mean_movement,median_movement,max_movement,movement_std,frame_count
pg1_1,0,1.2173229104909522,0.7071067811865476,3.5355339059327378,1.2300620156938105,97
pg1_1,1,0.12089115911941656,0.0,3.605551275463989,0.43038527970925544,97
pg1_1,2,0.07112944921610614,0.0,2.8284271247461903,0.33268125632747253,97
pg1_1,3,0.04856539229342063,0.0,3.1622776601683795,0.33282798870877345,97
pg1_1,4,0.029044225117403514,0.0,1.5811388300841898,0.1826419438419171,97
pg1_1,5,0.04382402897069321,0.0,1.5,0.19373415400161362,97
pg1_1,6,0.046283070402982684,0.0,2.23606797749979,0.252239573459981,97
pg1_1,7,0.10407425764015565,0.0,4.242640687119285,0.5400797279747195,97
pg1_1,8,0.1875985563895859,0.0,4.6097722286464435,0.5677420748478564,97
pg1_1,9,0.982893969580413,1.0,4.242640687119285,1.0362191735139106,97
pg1_10,0,0.12169659537883826,0.0,2.1213203435596424,0.34148644286301133,97
pg1_10,1,0.015625,0.0,0.5,0.08745299489319662,97
pg1_10,2,0.07232473706964936,0.0,2.23606797749979,0.2809352184391753,97
pg1_10,3,0.609044876483964,0.5,3.1622776601683795,0.7443837188832167,97
pg1_10,4,0.9256328316522627,0.8535533905932737,2.692582403567252,0.7677552423367047,97
pg1_10,5,0.49389773771536466,0.25,1.8027756377319946,0.5765801388518147,97
pg1_10,6,1.0495111792467835,0.5,11.672617529928752,1.745697035646155,97
pg1_10,7,0.028199028970693204,0.0,1.0,0.1422992479711814,97
pg1_10,8,1.4471862609157224,1.4142135623730951,5.830951894845301,1.332558223935055,97
pg1_10,9,0.704625535450586,0.25,2.23606797749979,0.821335716090331,97
pg1_11,0,0.015625,0.0,1.5,0.15309310892394862,97
pg1_11,1,0.19371606930592677,0.0,1.118033988749895,0.3103056576531137,97
pg1_11,2,0.08600642227065562,0.0,2.5495097567963922,0.30417927455449456,97
pg1_11,3,0.2859462981210277,0.0,2.23606797749979,0.3960400378580098,97
pg1_11,4,0.4076826533871545,0.0,3.605551275463989,0.5716486406711553,97
pg1_11,5,0.3180503620307928,0.0,1.8027756377319946,0.4108914679643435,97
pg1_11,6,0.4563205502110595,0.5,2.9154759474226504,0.5181959528136997,97
pg1_11,7,0.9013793268720983,0.5,7.5,1.379364726670674,97
pg1_11,8,0.32741422752316623,0.0,1.8027756377319946,0.4496641163670972,97
pg1_11,9,0.4754241898267428,0.5,1.5811388300841898,0.4762937684139702,97
pg1_12,0,0.10732057955970827,0.0,2.5,0.3463235503867342,97
pg1_12,1,0.8041226866890065,0.5,5.656854249492381,1.1626880092730538,97
pg1_12,2,0.8414186744570299,0.5,4.716990566028302,0.9488685948089496,97
pg1_12,3,0.5013251172939167,0.25,5.220153254455275,0.7888874255620553,97
pg1_12,4,1.3035599630047874,1.118033988749895,6.519202405202649,1.36254489677334,97
pg1_12,5,0.5329630651786114,0.5,4.0,0.7414866690139995,97
pg1_12,6,1.1798874427084542,0.6035533905932737,4.924428900898052,1.3103037002873343,97
pg1_12,7,0.4804381811388921,0.0,2.5495097567963922,0.6414719815350635,97
pg1_12,8,0.12791991300956537,0.0,3.1622776601683795,0.39308635186498936,97
pg1_12,9,1.1176025970489636,0.7071067811865476,8.246211251235321,1.3614720584591076,97
pg1_2,0,0.5177708573276905,0.0,3.8078865529319543,0.8383171148074059,97
pg1_2,1,0.09501375357874627,0.0,2.0,0.2740216878962657,97
pg1_2,2,0.48482503923817766,0.5,3.0,0.5566316878044145,97
pg1_2,3,0.6414412431259032,0.5,10.124228365658293,1.1239081280829675,97
pg1_2,4,0.37076551382077844,0.0,3.1622776601683795,0.5831237265215542,97
pg1_2,5,0.9820917425017668,1.118033988749895,6.324555320336759,0.9795680986711217,97
pg1_2,6,0.8665459241902521,0.5,2.5,0.8578640763507638,97
pg1_2,7,0.500379952981051,0.5,2.5495097567963922,0.5473718129662813,97
pg1_2,8,0.09375,0.0,1.0,0.2091650066335189,97
pg1_2,9,0.9893698888089794,1.118033988749895,5.1478150704935,0.9376910804251176,97
pg1_3,0,0.0,0.0,0.0,0.0,97
pg1_3,1,0.015625,0.0,1.5,0.15309310892394862,97
pg1_3,2,0.04813875357874627,0.0,2.1213203435596424,0.24121480705996953,97
pg1_3,3,0.14573650817619344,0.0,3.1622776601683795,0.3968433807160361,97
pg1_3,4,0.9682532946249395,0.5,3.2015621187164243,1.0686864220055303,97
pg1_3,5,0.36259734479946176,0.0,8.246211251235321,0.9283727920243916,97
pg1_3,6,1.2505494832755062,1.0,6.020797289396148,1.068043440021441,97
pg1_3,7,1.063673350566731,0.5,8.5,1.2560820636794554,97
pg1_3,8,1.116644172676749,0.7071067811865476,4.924428900898052,1.113544156930321,97
pg1_3,9,1.0177100070265621,1.0,5.70087712549569,1.0491579018853645,97
pg1_4,0,0.8982689960433682,0.5,7.106335201775948,1.148403146853261,97
pg1_4,1,0.08104491300956536,0.0,3.1622776601683795,0.3608388664914042,97
pg1_4,2,1.0637543366102054,0.5,8.0,1.5865187453532084,97
pg1_4,3,1.0433418780390127,1.0,3.8078865529319543,1.003929236607119,97
pg1_4,4,1.056111686117099,1.0,3.3541019662496847,1.0459158576346395,97
pg1_4,5,0.036458333333333336,0.0,1.0,0.149469089687232,97
pg1_4,6,0.06770833333333333,0.0,0.5,0.17198212371404456,97
pg1_4,7,0.05639805794138641,0.0,1.4142135623730951,0.22230014962710676,97
pg1_4,8,1.0815757318172607,1.0590169943749475,9.12414379544733,1.2965485270680435,97
pg1_4,9,0.2160913113081404,0.0,3.2015621187164243,0.4786740055062675,97
pg1_5,0,0.050028912893041615,0.0,1.8027756377319946,0.2515158748986904,97
pg1_5,1,0.010416666666666666,0.0,0.5,0.07178794308189787,97
pg1_5,2,0.036458333333333336,0.0,3.5,0.3572172541558804,97
pg1_5,3,0.03168105484530322,0.0,3.0413812651491097,0.3104096755364856,97
pg1_5,4,0.02206285404947807,0.0,1.118033988749895,0.13389981035458387,97
pg1_5,5,1.4958160917839376,1.266123775561495,4.527692569068709,1.2137514055616847,97
pg1_5,6,1.0524377657036257,0.5,3.5,1.0841828158853002,97
pg1_5,7,1.1230991139437967,0.7071067811865476,6.800735254367722,1.359799693084983,97
pg1_5,8,0.9958957230205258,1.118033988749895,4.031128874149275,0.8887389294681876,97
pg1_5,9,0.7332977715429853,0.5,4.6097722286464435,0.8374669848135652,97
pg1_6,0,1.1454495152321922,1.0,8.48528137423857,1.2366881033555808,97
pg1_6,1,0.03370904143228948,0.0,2.23606797749979,0.24901733717847874,97
pg1_6,2,0.005208333333333333,0.0,0.5,0.05103103630798282,97
pg1_6,3,0.0,0.0,0.0,0.0,97
pg1_6,4,0.13964874583354825,0.0,1.5811388300841898,0.2786778911700415,97
pg1_6,5,0.9174475099433437,0.7071067811865476,2.692582403567252,0.8519071260467729,97
pg1_6,6,1.2818800552675986,1.4142135623730951,4.47213595499958,1.1459366120757444,97
pg1_6,7,0.7149411978920256,0.5,14.705441169852742,1.568373183375372,97
pg1_6,8,0.8043634268918826,0.5,3.2015621187164243,0.9298440720326786,97
pg1_6,9,1.3713978769236432,1.118033988749895,10.700467279516348,1.5370844405947492,97
pg1_7,0,1.1442495165034396,1.118033988749895,3.5355339059327378,1.1159444063791084,97
pg1_7,1,0.1651811283443691,0.0,2.5,0.3924371717000334,97
pg1_7,2,0.046875,0.0,2.0,0.24146619028889235,97
pg1_7,3,0.7870910210076469,0.5,2.5495097567963922,0.779857082495973,97
pg1_7,4,0.6991083549603939,0.5,4.123105625617661,0.7597074282446459,97
pg1_7,5,1.184648030666189,0.8535533905932737,4.6097722286464435,1.1086951466054573,97
pg1_7,6,0.7857884197743368,0.0,11.704699910719626,1.6414804283985165,97
pg1_7,7,0.9051807807501792,0.5,2.9154759474226504,0.9751770926857478,97
pg1_7,8,0.925865832161442,0.5,4.031128874149275,0.9116564232801513,97
pg1_7,9,0.9038567811721726,1.118033988749895,4.47213595499958,0.8308025304448683,97
pg1_8,0,161.02653637263276,162.19395503362222,345.44174617437307,86.89269789731203,97
pg1_8,1,169.48417600631956,160.53228144144794,366.5276251525934,95.95551063477025,97
pg1_8,2,180.48880942921184,173.6757035396719,365.53317222927933,89.48810908361332,97
pg1_8,3,168.9565730258747,161.45298063278776,366.9727510320078,76.10475380475454,97
pg1_8,4,186.51897230365242,172.19979215331992,354.8309456628607,82.03196457837106,97
